Name,Age,#days,Lev,Date,Tm, ,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Elvis Andrus,34,2,Maj-AL,"Mar 30, 2023",Chicago,@,Houston,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,462101
Orlando Arcia,28,2,Maj-NL,"Mar 30, 2023",Atlanta,@,Washington,1,5,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0.25,0.4,0.25,0.65,606115
Nolan Arenado,32,2,Maj-NL,"Mar 30, 2023",St. Louis,,Toronto,1,5,5,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0.4,0.4,0.6,1.0,571448
Randy Arozarena,28,2,Maj-AL,"Mar 30, 2023",Tampa Bay,,Detroit,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,668227
Luis Arraez,26,2,Maj-NL,"Mar 30, 2023",Miami,,New York,1,4,4,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0.5,0.75,1.25,650333
Christian Arroyo,28,2,Maj-AL,"Mar 30, 2023",Boston,,Baltimore,1,4,4,0,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0.25,0.25,0.5,0.75,624414
Ji Hwan Bae,23,2,Maj-NL,"Mar 30, 2023",Pittsburgh,@,Cincinnati,1,4,3,2,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0.667,0.75,1.0,1.75,678225
Javier B\xc3\xa1ez,30,2,Maj-AL,"Mar 30, 2023",Detroit,@,Tampa Bay,1,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.5,0.333,0.833,595879
Jose Barrero,25,2,Maj-NL,"Mar 30, 2023",Cincinnati,,Pittsburgh,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676480
Joey Bart,26,2,Maj-NL,"Mar 30, 2023",San Francisco,@,New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,663698
Matt Beaty,30,2,Maj-NL,"Mar 30, 2023",San Francisco,@,New York,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,607461
Josh Bell,30,2,Maj-AL,"Mar 30, 2023",Cleveland,@,Seattle,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,605137
Cody Bellinger,27,2,Maj-NL,"Mar 30, 2023",Chicago,,Milwaukee,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,641355
Brandon Belt,35,2,Maj-AL,"Mar 30, 2023",Toronto,@,St. Louis,1,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.5,0.75,474832
Andrew Benintendi,28,2,Maj-AL,"Mar 30, 2023",Chicago,@,Houston,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,643217
Will Benson,25,2,Maj-NL,"Mar 30, 2023",Cincinnati,,Pittsburgh,1,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,666181
Jon Berti,33,2,Maj-NL,"Mar 30, 2023",Miami,,New York,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,542932
Christian Bethancourt,31,2,Maj-AL,"Mar 30, 2023",Tampa Bay,,Detroit,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,542194
Mookie Betts,30,2,Maj-NL,"Mar 30, 2023",Los Angeles,,Arizona,1,5,4,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0.0,0.2,0.0,0.2,605141
Bo Bichette,25,2,Maj-AL,"Mar 30, 2023",Toronto,@,St. Louis,1,6,6,2,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0.667,0.667,0.833,1.5,666182
Cavan Biggio,28,2,Maj-AL,"Mar 30, 2023",Toronto,@,St. Louis,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,,624415
Charlie Blackmon,36,2,Maj-NL,"Mar 30, 2023",Colorado,@,San Diego,1,5,5,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.8,1.4,453568
Xander Bogaerts,30,2,Maj-NL,"Mar 30, 2023",San Diego,,Colorado,1,4,4,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0.75,0.75,1.25,2.0,593428
Alec Bohm,26,2,Maj-NL,"Mar 30, 2023",Philadelphia,@,Texas,1,4,4,2,3,1,0,1,3,0,0,1,0,0,0,0,0,0,0.75,0.75,1.75,2.5,664761
Alex Bregman,29,2,Maj-AL,"Mar 30, 2023",Houston,,Chicago,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,608324
Will Brennan,25,2,Maj-AL,"Mar 30, 2023",Cleveland,@,Seattle,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,686823
Seth Brown,30,2,Maj-AL,"Mar 30, 2023",Oakland,,Los Angeles,1,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0.75,1.25,664913
Kris Bryant,31,2,Maj-NL,"Mar 30, 2023",Colorado,@,San Diego,1,5,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6,0.6,0.8,1.4,592178
Byron Buxton,29,2,Maj-AL,"Mar 30, 2023",Minnesota,@,Kansas City,1,5,5,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.8,1.2,621439
Miguel Cabrera,40,2,Maj-AL,"Mar 30, 2023",Detroit,@,Tampa Bay,1,4,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0.25,0.5,0.75,408234
Oswaldo Cabrera,24,2,Maj-AL,"Mar 30, 2023",New York,,San Francisco,1,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,665828
Alex Call,28,2,Maj-NL,"Mar 30, 2023",Washington,,Atlanta,1,3,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,669743
Jeimer Candelario,29,2,Maj-NL,"Mar 30, 2023",Washington,,Atlanta,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,600869
Mark Canha,34,2,Maj-NL,"Mar 30, 2023",New York,@,Miami,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.25,0.0,0.25,592192
Conner Capel,26,2,Maj-AL,"Mar 30, 2023",Oakland,,Los Angeles,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668843
Matt Carpenter,37,2,Maj-NL,"Mar 30, 2023",San Diego,,Colorado,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,572761
Corbin Carroll,22,2,Maj-NL,"Mar 30, 2023",Arizona,@,Los Angeles,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,682998
Triston Casas,23,2,Maj-AL,"Mar 30, 2023",Boston,,Baltimore,1,4,2,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0.0,0.25,0.0,0.25,671213
Nick Castellanos,31,2,Maj-NL,"Mar 30, 2023",Philadelphia,@,Texas,1,5,5,2,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,0.6,1.0,592206
Harold Castro,29,2,Maj-NL,"Mar 30, 2023",Colorado,@,San Diego,1,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,605612
Rodolfo Castro,24,2,Maj-NL,"Mar 30, 2023",Pittsburgh,@,Cincinnati,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,666801
Jake Cave,30,2,Maj-NL,"Mar 30, 2023",Philadelphia,@,Texas,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,595909
Matt Chapman,30,2,Maj-AL,"Mar 30, 2023",Toronto,@,St. Louis,1,5,5,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0.6,0.6,0.6,1.2,656305
Jazz Chisholm Jr.,25,2,Maj-NL,"Mar 30, 2023",Miami,,New York,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,665862
Oscar Col\xc3\xa1s,24,2,Maj-AL,"Mar 30, 2023",Chicago,@,Houston,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,693049
Michael Conforto,30,2,Maj-NL,"Mar 30, 2023",San Francisco,@,New York,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,624424
William Contreras,25,2,Maj-NL,"Mar 30, 2023",Milwaukee,@,Chicago,1,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.25,0.25,0.25,0.5,661388
Willson Contreras,31,2,Maj-NL,"Mar 30, 2023",St. Louis,,Toronto,1,4,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,575929
Garrett Cooper,32,2,Maj-NL,"Mar 30, 2023",Miami,,New York,1,4,4,1,1,0,0,1,2,0,0,2,0,0,0,1,0,0,0.25,0.25,1.0,1.25,643265
Carlos Correa,28,2,Maj-AL,"Mar 30, 2023",Minnesota,@,Kansas City,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,621043
Brandon Crawford,36,2,Maj-NL,"Mar 30, 2023",San Francisco,@,New York,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,543063
J.P. Crawford,28,2,Maj-AL,"Mar 30, 2023",Seattle,,Cleveland,1,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.667,0.5,1.167,641487
C.J. Cron,33,2,Maj-NL,"Mar 30, 2023",Colorado,@,San Diego,1,5,5,2,4,1,0,2,5,0,0,1,0,0,0,0,0,0,0.8,0.8,2.2,3.0,543068
Jake Cronenworth,29,2,Maj-NL,"Mar 30, 2023",San Diego,,Colorado,1,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,630105
Oneil Cruz,24,2,Maj-NL,"Mar 30, 2023",Pittsburgh,@,Cincinnati,1,5,2,2,1,0,0,1,2,2,0,0,0,0,1,0,0,0,0.5,0.6,2.0,2.6,665833
Travis d\'Arnaud,34,2,Maj-NL,"Mar 30, 2023",Atlanta,@,Washington,1,5,5,2,4,1,0,0,2,0,0,1,0,0,0,0,0,0,0.8,0.8,1.0,1.8,518595
David Dahl,29,2,Maj-NL,"Mar 30, 2023",San Diego,,Colorado,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621311
J.D. Davis,30,2,Maj-NL,"Mar 30, 2023",San Francisco,@,New York,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605204
Yonathan Daza,29,2,Maj-NL,"Mar 30, 2023",Colorado,@,San Diego,1,5,5,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.2,0.4,602074
Bryan De La Cruz,26,2,Maj-NL,"Mar 30, 2023",Miami,,New York,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,650559
Rafael Devers,26,2,Maj-AL,"Mar 30, 2023",Boston,,Baltimore,1,5,5,2,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0.4,0.4,0.6,1.0,646240
Aledmys D\xc3\xadaz,32,2,Maj-AL,"Mar 30, 2023",Oakland,,Los Angeles,1,4,3,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0.667,0.75,0.667,1.417,649557
Elias D\xc3\xadaz,32,2,Maj-NL,"Mar 30, 2023",Colorado,@,San Diego,1,5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.25,0.4,0.25,0.65,553869
Yainer Diaz,24,2,Maj-AL,"Mar 30, 2023",Houston,,Chicago,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,673237
Yandy D\xc3\xadaz,31,2,Maj-AL,"Mar 30, 2023",Tampa Bay,,Detroit,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.333,0.0,0.333,650490
Corey Dickerson,34,2,Maj-NL,"Mar 30, 2023",Washington,,Atlanta,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,572816
Josh Donaldson,37,2,Maj-AL,"Mar 30, 2023",New York,,San Francisco,1,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,518626
Brendan Donovan,26,2,Maj-NL,"Mar 30, 2023",St. Louis,,Toronto,1,6,6,3,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,680977
Hunter Dozier,31,2,Maj-AL,"Mar 30, 2023",Kansas City,,Minnesota,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,641531
Brandon Drury,30,2,Maj-AL,"Mar 30, 2023",Los Angeles,@,Oakland,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,592273
Mauricio Dub\xc3\xb3n,28,2,Maj-AL,"Mar 30, 2023",Houston,,Chicago,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,643289
Adam Duvall,34,2,Maj-AL,"Mar 30, 2023",Boston,,Baltimore,1,5,4,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0.25,0.4,0.25,0.65,594807
Tommy Edman,28,2,Maj-NL,"Mar 30, 2023",St. Louis,,Toronto,1,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,669242
Eduardo Escobar,34,2,Maj-NL,"Mar 30, 2023",New York,@,Miami,1,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,500871
Thairo Estrada,27,2,Maj-NL,"Mar 30, 2023",San Francisco,@,New York,1,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,0.5,0.5,1.0,642731
Stuart Fairchild,27,2,Maj-NL,"Mar 30, 2023",Cincinnati,,Pittsburgh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,656413
Kyle Farmer,32,2,Maj-AL,"Mar 30, 2023",Minnesota,@,Kansas City,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,571657
Wilmer Flores,31,2,Maj-NL,"Mar 30, 2023",San Francisco,@,New York,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.25,0.0,0.25,527038
Estevan Florial,25,2,Maj-AL,"Mar 30, 2023",New York,,San Francisco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,664314
Jake Fraley,28,2,Maj-NL,"Mar 30, 2023",Cincinnati,,Pittsburgh,1,5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0.6,0.5,1.1,641584
Ty France,28,2,Maj-AL,"Mar 30, 2023",Seattle,,Cleveland,1,4,4,1,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0.75,0.75,1.75,2.5,664034
Wander Franco,22,2,Maj-AL,"Mar 30, 2023",Tampa Bay,,Detroit,1,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,1.25,1.75,677551
Adam Frazier,31,2,Maj-AL,"Mar 30, 2023",Baltimore,@,Boston,1,5,4,3,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0.5,0.6,1.0,1.6,624428
Freddie Freeman,33,2,Maj-NL,"Mar 30, 2023",Los Angeles,,Arizona,1,5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0.6,0.5,1.1,518692
TJ Friedl,27,2,Maj-NL,"Mar 30, 2023",Cincinnati,,Pittsburgh,1,5,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0.0,0.2,0.0,0.2,670770
Joey Gallo,29,2,Maj-AL,"Mar 30, 2023",Minnesota,@,Kansas City,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,608336
Adolis Garc\xc3\xada,30,2,Maj-AL,"Mar 30, 2023",Texas,,Philadelphia,1,4,4,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,666969
Avisa\xc3\xadl Garc\xc3\xada,32,2,Maj-NL,"Mar 30, 2023",Miami,,New York,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,541645
Luis Garc\xc3\xada,23,2,Maj-NL,"Mar 30, 2023",Washington,,Atlanta,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,671277
Andr\xc3\xa9s Gim\xc3\xa9nez,24,2,Maj-AL,"Mar 30, 2023",Cleveland,@,Seattle,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,665926
Paul Goldschmidt,35,2,Maj-NL,"Mar 30, 2023",St. Louis,,Toronto,1,5,4,1,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0.5,0.6,0.75,1.35,502671
Yan Gomes,35,2,Maj-NL,"Mar 30, 2023",Chicago,,Milwaukee,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,543228
Romy Gonz\xc3\xa1lez,26,2,Maj-AL,"Mar 30, 2023",Chicago,@,Houston,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,663853
Nick Gordon,27,2,Maj-AL,"Mar 30, 2023",Minnesota,@,Kansas City,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,624503
Nolan Gorman,23,2,Maj-NL,"Mar 30, 2023",St. Louis,,Toronto,1,5,3,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0.333,0.6,0.333,0.933,669357
Yasmani Grandal,34,2,Maj-AL,"Mar 30, 2023",Chicago,@,Houston,1,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25,0.25,1.0,1.25,518735
Riley Greene,22,2,Maj-AL,"Mar 30, 2023",Detroit,@,Tampa Bay,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,682985
Trent Grisham,26,2,Maj-NL,"Mar 30, 2023",San Diego,,Colorado,1,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.25,0.5,0.75,663757
Robbie Grossman,33,2,Maj-AL,"Mar 30, 2023",Texas,,Philadelphia,1,4,3,1,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0.333,0.5,1.333,1.833,543257
Vladimir Guerrero Jr.,24,2,Maj-AL,"Mar 30, 2023",Toronto,@,St. Louis,1,6,4,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,0.5,0.5,0.5,1.0,665489
Lourdes Gurriel Jr.,29,2,Maj-NL,"Mar 30, 2023",Arizona,@,Los Angeles,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.25,0.25,0.25,0.5,666971
Eric Haase,30,2,Maj-AL,"Mar 30, 2023",Detroit,@,Tampa Bay,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,606992
Darick Hall,27,2,Maj-NL,"Mar 30, 2023",Philadelphia,@,Texas,1,5,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.2,669742
Ian Happ,28,2,Maj-NL,"Mar 30, 2023",Chicago,,Milwaukee,1,4,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0.5,0.75,0.5,1.25,664023
Michael Harris II,22,2,Maj-NL,"Mar 30, 2023",Atlanta,@,Washington,1,5,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.25,0.4,0.25,0.65,671739
Ke\'Bryan Hayes,26,2,Maj-NL,"Mar 30, 2023",Pittsburgh,@,Cincinnati,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663647
Austin Hays,27,2,Maj-AL,"Mar 30, 2023",Baltimore,@,Boston,1,5,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0,0.0,0.0,0.0,669720
Austin Hedges,30,2,Maj-NL,"Mar 30, 2023",Pittsburgh,@,Cincinnati,1,4,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0,0.333,0.0,0.333,595978
Jonah Heim,28,2,Maj-AL,"Mar 30, 2023",Texas,,Philadelphia,1,4,4,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0.5,0.75,1.25,641680
Gunnar Henderson,22,2,Maj-AL,"Mar 30, 2023",Baltimore,@,Boston,1,5,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.0,0.4,0.0,0.4,683002
Enrique Hern\xc3\xa1ndez,31,2,Maj-AL,"Mar 30, 2023",Boston,,Baltimore,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,571771
Teoscar Hern\xc3\xa1ndez,30,2,Maj-AL,"Mar 30, 2023",Seattle,,Cleveland,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,606192
Sam Hilliard,29,2,Maj-NL,"Mar 30, 2023",Atlanta,@,Washington,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,1.0,,,656541
Nico Hoerner,26,2,Maj-NL,"Mar 30, 2023",Chicago,,Milwaukee,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,663538
Eric Hosmer,33,2,Maj-NL,"Mar 30, 2023",Chicago,,Milwaukee,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,543333
Jonathan India,26,2,Maj-NL,"Mar 30, 2023",Cincinnati,,Pittsburgh,1,5,4,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0.6,0.75,1.35,663697
Kyle Isbel,26,2,Maj-AL,"Mar 30, 2023",Kansas City,,Minnesota,1,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.667,1.0,1.667,664728
Eloy Jim\xc3\xa9nez,26,2,Maj-AL,"Mar 30, 2023",Chicago,@,Houston,1,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,650391
Aaron Judge,31,2,Maj-AL,"Mar 30, 2023",New York,,San Francisco,1,4,4,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0.5,0.5,1.25,1.75,592450
Josh Jung,25,2,Maj-AL,"Mar 30, 2023",Texas,,Philadelphia,1,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.0,0.25,0.0,0.25,673962
Jarred Kelenic,23,2,Maj-AL,"Mar 30, 2023",Seattle,,Cleveland,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.333,0.333,0.333,0.667,672284
Tony Kemp,31,2,Maj-AL,"Mar 30, 2023",Oakland,,Los Angeles,1,4,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0.333,0.5,0.667,1.167,643393
Max Kepler,30,2,Maj-AL,"Mar 30, 2023",Minnesota,@,Kansas City,1,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,596146
Kevin Kiermaier,33,2,Maj-AL,"Mar 30, 2023",Toronto,@,St. Louis,1,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,595281
Ha-Seong Kim,27,2,Maj-NL,"Mar 30, 2023",San Diego,,Colorado,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5,673490
Alejandro Kirk,24,2,Maj-AL,"Mar 30, 2023",Toronto,@,St. Louis,1,5,5,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.4,672386
Andrew Knizner,28,2,Maj-NL,"Mar 30, 2023",St. Louis,,Toronto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668800
Ryan Kreidler,25,2,Maj-AL,"Mar 30, 2023",Detroit,@,Tampa Bay,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668952
