Name,Age,#days,Lev,Date,Tm, ,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,2,Maj-NL,"Mar 30, 2023",Washington,,Atlanta,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,682928
Jos\xc3\xa9 Abreu,36,2,Maj-AL,"Mar 30, 2023",Houston,,Chicago,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,547989
Ronald Acuna Jr.,25,2,Maj-NL,"Mar 30, 2023",Atlanta,@,Washington,1,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333,0.333,0.333,0.667,660670
Willy Adames,27,2,Maj-NL,"Mar 30, 2023",Milwaukee,@,Chicago,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.333,0.5,0.333,0.833,642715
Jes\xc3\xbas Aguilar,33,2,Maj-AL,"Mar 30, 2023",Oakland,,Los Angeles,1,4,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.0,0.25,0.0,0.25,542583
Nick Ahmed,33,2,Maj-NL,"Mar 30, 2023",Arizona,@,Los Angeles,1,3,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0.333,0.333,0.667,1.0,605113
Ozzie Albies,26,2,Maj-NL,"Mar 30, 2023",Atlanta,@,Washington,1,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,645277
Nick Allen,24,2,Maj-AL,"Mar 30, 2023",Oakland,,Los Angeles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,669397
Pete Alonso,28,2,Maj-NL,"Mar 30, 2023",New York,@,Miami,1,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.2,0.0,0.2,624413
Yordan Alvarez,26,2,Maj-AL,"Mar 30, 2023",Houston,,Chicago,1,4,3,2,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0.333,0.5,1.333,1.833,670541
Brian Anderson,30,2,Maj-NL,"Mar 30, 2023",Milwaukee,@,Chicago,1,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0.667,0.5,1.167,605119
Tim Anderson,30,2,Maj-AL,"Mar 30, 2023",Chicago,@,Houston,1,5,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.6,0.75,1.35,641313
