Name,Age,#days,Lev,Date,Tm, ,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,0,Maj-NL,"Apr 1, 2023",Washington,,Atlanta,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,682928
Jos\xc3\xa9 Abreu,36,0,Maj-AL,"Apr 1, 2023",Houston,,Chicago,1,5,5,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0.4,0.4,0.4,0.8,547989
Ronald Acuna Jr.,25,0,Maj-NL,"Apr 1, 2023",Atlanta,@,Washington,1,5,5,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0.2,0.2,0.8,1.0,660670
Willy Adames,27,0,Maj-NL,"Apr 1, 2023",Milwaukee,@,Chicago,1,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.0,0.25,0.0,0.25,642715
Jes\xc3\xbas Aguilar,33,0,Maj-AL,"Apr 1, 2023",Oakland,,Los Angeles,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,542583
Nick Ahmed,33,0,Maj-NL,"Apr 1, 2023",Arizona,@,Los Angeles,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,605113
Ozzie Albies,26,0,Maj-NL,"Apr 1, 2023",Atlanta,@,Washington,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,645277
Nick Allen,24,0,Maj-AL,"Apr 1, 2023",Oakland,,Los Angeles,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669397
Pete Alonso,28,0,Maj-NL,"Apr 1, 2023",New York,@,Miami,1,5,3,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0.667,0.8,1.0,1.8,624413
Yordan Alvarez,26,0,Maj-AL,"Apr 1, 2023",Houston,,Chicago,1,5,5,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0.6,0.6,0.6,1.2,670541
Brian Anderson,30,0,Maj-NL,"Apr 1, 2023",Milwaukee,@,Chicago,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,605119
Tim Anderson,30,0,Maj-AL,"Apr 1, 2023",Chicago,@,Houston,1,5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0.4,0.4,0.4,0.8,641313
Elvis Andrus,34,0,Maj-AL,"Apr 1, 2023",Chicago,@,Houston,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,462101
Orlando Arcia,28,0,Maj-NL,"Apr 1, 2023",Atlanta,@,Washington,1,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,1.5,606115
Nolan Arenado,32,0,Maj-NL,"Apr 1, 2023",St. Louis,,Toronto,1,4,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,571448
Gabriel Arias,23,0,Maj-AL,"Apr 1, 2023",Cleveland,@,Seattle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,672356
Randy Arozarena,28,0,Maj-AL,"Apr 1, 2023",Tampa Bay,,Detroit,1,5,3,2,1,1,0,0,1,1,0,2,1,0,0,0,0,0,0.333,0.6,0.667,1.267,668227
Luis Arraez,26,0,Maj-NL,"Apr 1, 2023",Miami,,New York,1,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,1.6,650333
Christian Arroyo,28,0,Maj-AL,"Apr 1, 2023",Boston,,Baltimore,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,624414
Jos\xc3\xa9 Azocar,27,0,Maj-NL,"Apr 1, 2023",San Diego,,Colorado,1,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.667,1.0,1.667,640492
Ji Hwan Bae,23,0,Maj-NL,"Apr 1, 2023",Pittsburgh,@,Cincinnati,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,678225
Javier B\xc3\xa1ez,30,0,Maj-AL,"Apr 1, 2023",Detroit,@,Tampa Bay,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,595879
Austin Barnes,33,0,Maj-NL,"Apr 1, 2023",Los Angeles,,Arizona,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605131
Tucker Barnhart,32,0,Maj-NL,"Apr 1, 2023",Chicago,,Milwaukee,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,571466
