,player_id,name,status,position_type,eligible_positions,selected_position
13,8193,Max Scherzer,,P,['SP'],SP
14,10867,Shane Bieber,,P,['SP'],SP
15,11826,George Kirby,,P,['SP'],SP
16,10660,Jordan Montgomery,,P,['SP'],SP
17,11277,Grayson Rodriguez,,P,['SP'],SP
18,10131,Josh Hader,,P,['RP'],RP
19,11526,Andrés Muñoz,,P,['RP'],RP
20,8736,Adam Ottavino,,P,['RP'],RP
21,11709,Kyle Finnegan,,P,['RP'],RP
22,11926,Reid Detmers,,P,['SP'],BN
0,9015,Salvador Perez,,B,"['C', 'Util']",C
1,10918,Pete Alonso,,B,"['1B', 'Util']",1B
2,9552,Mookie Betts,,B,"['2B', 'RF', 'Util']",2B
3,9111,Manny Machado,,B,"['3B', 'Util']",3B
4,9893,Willy Adames,,B,"['SS', 'Util']",SS
5,9320,Christian Yelich,,B,"['LF', 'Util']",LF
6,10849,Cedric Mullins,,B,"['CF', 'Util']",CF
7,9108,Nick Castellanos,,B,"['RF', 'Util']",RF
8,10235,Rafael Devers,,B,"['3B', 'Util']",Util
9,9889,Hunter Renfroe,,B,"['RF', 'Util']",BN
10,10175,Ryan McMahon,,B,"['2B', '3B', 'Util']",BN
11,9875,Michael Conforto,,B,"['LF', 'RF', 'Util']",BN
12,10616,Lourdes Gurriel Jr.,,B,"['LF', 'Util']",BN
13,9701,Jacob deGrom,,P,['SP'],SP
14,9691,Robbie Ray,,P,['SP'],SP
15,9823,Carlos Rodón,DTD,P,['SP'],SP
16,11331,Tony Gonsolin,DTD,P,['SP'],SP
17,10031,Tyler Anderson,,P,['SP'],SP
18,8470,Daniel Bard,,P,['RP'],RP
19,10860,Alex Lange,,P,['RP'],RP
20,9193,Will Smith,,P,['RP'],RP
21,10133,Taylor Rogers,,P,['RP'],RP
22,11903,Luis Garcia,,P,['SP'],BN
0,11531,Cal Raleigh,,B,"['C', 'Util']",C
1,8967,Paul Goldschmidt,,B,"['1B', 'Util']",1B
2,10964,Luis García,,B,"['2B', 'SS', 'Util']",2B
3,9507,José Ramírez,,B,"['3B', 'Util']",3B
