,player_id,name,position_type,eligible_positions,percent_owned,status
120,10793,John Curtiss,P,['RP'],0,
121,10828,Víctor Arano,P,"['RP', 'IL']",0,IL60
122,10846,Bryse Wilson,P,"['SP', 'RP']",0,
123,10850,Jalen Beeks,P,"['SP', 'RP']",1,
124,10852,Tanner Houck,P,"['SP', 'RP']",8,
125,10858,Adbert Alzolay,P,['RP'],1,
126,10864,Tony Santillan,P,"['RP', 'IL']",0,IL15
127,10871,Yency Almonte,P,['RP'],1,
128,10901,Dennis Santana,P,['RP'],0,
129,10902,Mitch White,P,"['SP', 'RP', 'IL']",0,IL15
130,10936,Taylor Hearn,P,"['SP', 'RP']",0,
131,10947,Jordan Hicks,P,"['SP', 'RP']",2,
132,10963,Wil Crowe,P,['RP'],0,
133,10972,Elieser Hernández,P,"['SP', 'RP', 'IL']",0,IL15
134,10979,Adam Cimber,P,['RP'],6,
135,10985,Tyler Kinley,P,"['RP', 'IL']",0,IL60
136,10986,Tim Hill,P,['RP'],0,
137,10988,Trevor Richards,P,"['SP', 'RP']",0,
138,10989,Tanner Rainey,P,"['RP', 'IL']",0,IL60
139,10994,Colten Brewer,P,['RP'],0,
140,10997,Lou Trivino,P,"['RP', 'IL']",1,IL15
141,11006,Austin Gomber,P,"['SP', 'RP']",1,
142,11032,José Castillo,P,"['RP', 'IL']",0,IL15
143,11036,Caleb Ferguson,P,['RP'],1,
144,11044,Jonathan Loáisiga,P,['RP'],6,
145,11050,Drew Smith,P,['RP'],2,
146,11064,Enyel De Los Santos,P,['RP'],0,
147,11068,Matt Festa,P,['RP'],0,
148,11091,Ian Gibaut,P,['RP'],0,
149,11113,Nick Anderson,P,['RP'],1,
150,11123,Jimmy Cordero,P,['RP'],0,
151,11126,Trey Wingenter,P,['RP'],0,
152,11144,Andrew Vasquez,P,['RP'],0,
153,11191,Jonathan Hernández,P,['RP'],0,
154,11192,Julian Merryweather,P,['RP'],0,
155,11193,Joel Payamps,P,['RP'],0,
156,11203,Jimmy Herget,P,['RP'],17,
157,11204,Sam Hentges,P,"['RP', 'IL']",0,IL15
158,11207,Justin Lawrence,P,['RP'],0,
159,11208,Bryan Abreu,P,['RP'],7,
160,11214,Josh Sborz,P,"['RP', 'IL']",0,IL15
161,11217,José Quijada,P,['RP'],0,
162,11236,Erik Swanson,P,['RP'],9,
163,11241,Brock Burke,P,['RP'],5,
164,11263,Yusei Kikuchi,P,"['SP', 'RP']",18,
165,11286,Michael Rucker,P,['RP'],0,
166,11287,Keegan Thompson,P,"['SP', 'RP']",2,
167,11316,Corbin Martin,P,"['RP', 'IL']",0,IL60
168,11344,Jorge Alcala,P,['RP'],0,
169,11357,Trevor Stephan,P,['RP'],5,
170,11358,Garrett Whitlock,P,"['SP', 'RP', 'IL']",29,IL15
171,11383,Wyatt Mills,P,"['RP', 'IL']",0,IL15
172,11424,Freddy Tarnok,P,"['RP', 'IL']",0,IL15
173,11425,Mike Baumann,P,"['SP', 'RP']",0,
174,11431,Kutter Crawford,P,"['SP', 'RP']",1,
175,11447,Eli Morgan,P,['RP'],1,
176,11470,Carlos Hernández,P,"['SP', 'RP']",0,
177,11489,Aaron Ashby,P,"['SP', 'RP', 'IL']",16,IL15
178,11507,Nick Nelson,P,"['RP', 'IL']",0,IL15
179,11537,Gregory Santos,P,['RP'],0,
180,11542,Jake Woodford,P,['RP'],1,
181,11548,Colin Poche,P,['RP'],10,
182,11601,Stephen Nogosek,P,['RP'],0,
183,11626,Kevin Ginkel,P,['RP'],0,
184,11634,John Schreiber,P,['RP'],11,
185,11639,Joel Kuhnel,P,['RP'],0,
186,11644,Tyler Rogers,P,['RP'],10,
187,11648,Cole Sulser,P,['RP'],0,
188,11661,Michael King,P,['RP'],14,
189,11664,Blake Taylor,P,"['RP', 'IL']",0,IL15
190,11673,Matt Foster,P,"['RP', 'IL']",0,IL15
191,11674,Jimmy Lambert,P,['RP'],0,
192,11682,Tejay Antone,P,"['SP', 'RP', 'IL']",0,IL60
193,11702,J.P. Feyereisen,P,"['RP', 'IL']",2,IL60
194,11704,Garrett Cleavinger,P,['RP'],0,
195,11706,Cristopher Sánchez,P,"['SP', 'RP', 'IL']",0,IL15
196,11715,Dany Jiménez,P,['RP'],21,
197,11751,Packy Naughton,P,"['SP', 'RP']",0,
198,11838,Johan Oviedo,P,"['SP', 'RP']",1,
199,11840,Zack Thompson,P,['RP'],1,
200,11888,Josh Fleming,P,"['SP', 'RP']",0,
201,11889,Ryan Thompson,P,['RP'],0,
202,11893,Kyle Nelson,P,['RP'],0,
203,11894,Nick Sandlin,P,['RP'],0,
204,11920,Alex Vesia,P,['RP'],7,
205,11931,Andre Jackson,P,['RP'],0,
206,11955,Connor Brogdon,P,['RP'],0,
207,11959,Codi Heuer,P,"['RP', 'IL']",0,IL60
208,11977,Max Kranick,P,"['RP', 'IL']",0,IL60
209,11998,Bryan Baker,P,['RP'],0,
210,12020,Nabil Crismatt,P,['RP'],0,
211,12046,Garrett Crochet,P,"['RP', 'IL']",1,IL15
212,12052,Domingo Tapia,P,['RP'],0,
213,12053,Jake Brentz,P,"['RP', 'IL']",0,IL60
214,12093,Carlos Vargas,P,['RP'],0,
215,12103,Lucas Gilbreath,P,"['RP', 'IL']",0,IL60
216,12105,Mason Thompson,P,['RP'],0,
217,12108,Zach Pop,P,['RP'],0,
218,12156,Cole Sands,P,"['SP', 'RP']",0,
219,12194,Anthony Bender,P,"['RP', 'IL']",0,IL60
220,12199,Tommy Nance,P,"['RP', 'IL']",0,IL15
221,12203,Griffin Jax,P,['RP'],2,
222,12204,Jason Foley,P,['RP'],0,
223,12215,Tylor Megill,P,"['SP', 'RP']",10,
224,12223,Andrew Wantz,P,['RP'],0,
225,12234,Kirby Snead,P,"['RP', 'IL']",0,IL60
226,12244,Stephen Ridings,P,"['RP', 'IL']",0,IL15
227,12251,José Marte,P,"['RP', 'IL']",0,IL60
228,12258,Scott Effross,P,"['RP', 'IL']",0,IL60
229,12268,Kaleb Ort,P,['RP'],0,
230,12269,Jovani Moran,P,['RP'],0,
231,12272,Dylan Coleman,P,['RP'],0,
232,12273,Seth Martinez,P,['RP'],0,
233,12274,Dauri Moreta,P,['RP'],0,
234,12275,Dylan Lee,P,['RP'],13,
235,12277,Reiver Sanmartin,P,"['SP', 'RP']",0,
236,12278,Matt Brash,P,"['SP', 'RP']",4,
237,12289,Yunior Marte,P,['RP'],0,
238,12307,Steven Wilson,P,['RP'],0,
239,12311,Calvin Faucher,P,['RP'],0,
240,12327,Ethan Roberts,P,"['RP', 'IL']",0,IL60
241,12328,Ronny Henriquez,P,"['RP', 'IL']",0,IL15
242,12333,JP Sears,P,"['SP', 'RP']",2,
243,12338,Adam Oller,P,"['SP', 'RP']",0,DTD
244,12347,Logan Gillaspie,P,['RP'],0,
245,12352,Freddy Pacheco,P,"['RP', 'IL']",0,IL60
246,12354,Robert Suarez,P,"['RP', 'IL']",8,IL15
247,12590,Ronel Blanco,P,['RP'],0,
248,12591,Andre Pallante,P,"['SP', 'RP']",1,
249,12595,Zach Jackson,P,['RP'],2,
250,12597,Parker Mushinski,P,"['RP', 'IL']",0,IL15
251,12603,Penn Murfee,P,['RP'],1,
252,12616,Colin Holderman,P,['RP'],0,
253,12618,Brandon Hughes,P,"['RP', 'IL']",3,IL15
254,12624,Peter Strzelecki,P,['RP'],1,
255,12625,Jose Cuas,P,['RP'],0,
256,12628,Jason Alexander,P,"['SP', 'RP', 'IL']",0,IL60
257,12634,Davis Daniel,P,['RP'],0,
258,12635,Jake Bird,P,['RP'],0,
259,12648,Garrett Hill,P,"['SP', 'RP']",0,
260,12658,Huascar Brazoban,P,['RP'],0,
261,12673,Andrew Nardi,P,['RP'],0,
262,12686,Zack Kelly,P,['RP'],0,
263,12690,Fernando Cruz,P,['RP'],0,
264,12691,Bryce Montes de Oca,P,"['RP', 'IL']",0,IL15
265,12733,Tim Herrin,P,['RP'],0,
266,12766,Jose Hernandez,P,['RP'],0,
267,12768,Kevin Kelly,P,['RP'],0,
268,12769,Nic Enright,P,"['RP', 'IL']",0,IL15
269,12772,Gus Varland,P,['RP'],0,
270,60002,Shintaro Fujinami,P,['RP'],8,
271,61310,Hobie Harris,P,['RP'],0,
