Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Hanser Alberto,30,0,Maj-AL,"Apr 6, 2023",Chicago,,San Francisco,1,0,,,,1.0,4,4,4,1,0,1,0,36.0,,7,0,0,0,0,0,0,0,0,8,18,0.61,0.06,0.0,0.14,0.29,0.14,5.0,0.5,0.0,0.0,593643
Yency Almonte,29,0,Maj-NL,"Apr 6, 2023",Los Angeles,@,Arizona,1,0,,,,0.2,0,0,0,1,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,13,0.54,0.08,0.08,0.5,0.0,0.0,1.5,0.0,0.0,0.0,622075
Nick Anderson,32,0,Maj-NL,"Apr 6, 2023",Atlanta,,San Diego,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,17,0.65,0.06,0.24,1.0,0.0,0.0,0.0,0.0,9.0,,623433
Scott Barlow,30,0,Maj-AL,"Apr 6, 2023",Kansas City,,Toronto,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,10,0.9,0.4,0.2,0.5,0.0,0.5,0.0,0.0,9.0,,605130
Anthony Bass,35,0,Maj-AL,"Apr 6, 2023",Toronto,@,Kansas City,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,8,0.88,0.25,0.38,1.0,0.0,0.0,0.0,0.0,18.0,,542914
Matt Beaty,30,0,Maj-NL,"Apr 6, 2023",San Francisco,@,Chicago,1,0,,,,1.0,3,3,3,1,1,0,0,27.0,,6,2,0,0,0,0,0,0,0,7,22,0.59,0.18,0.05,0.6,0.2,0.0,4.0,0.6,9.0,1.0,607461
Phil Bickford,27,0,Maj-NL,"Apr 6, 2023",Los Angeles,@,Arizona,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,1,0,0,0,0,0,0,0,4,21,0.71,0.1,0.24,0.0,0.5,0.5,1.0,0.5,18.0,,641360
Ryan Brasier,35,0,Maj-AL,"Apr 6, 2023",Boston,@,Detroit,1,0,,,,1.0,1,0,0,1,1,0,0,0.0,,4,1,0,0,0,0,0,0,0,5,21,0.57,0.19,0.05,0.0,0.67,0.0,2.0,0.333,9.0,1.0,518489
John Brebbia,33,0,Maj-NL,"Apr 6, 2023",San Francisco,@,Chicago,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,15,0.6,0.2,0.2,0.0,1.0,0.0,0.0,0.0,18.0,,605154
Adam Cimber,32,0,Maj-AL,"Apr 6, 2023",Toronto,@,Kansas City,1,0,,,1.0,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,14,0.79,0.14,0.07,1.0,0.0,0.0,0.0,0.0,9.0,,643256
Jos\xc3\xa9 Cisnero,34,0,Maj-AL,"Apr 6, 2023",Detroit,,Boston,1,0,,,,1.1,1,1,1,0,1,1,0,6.75,,5,0,0,0,0,0,1,0,0,5,19,0.53,0.16,0.05,0.0,0.0,0.75,0.75,0.0,6.8,,542585
Nabil Crismatt,28,0,Maj-NL,"Apr 6, 2023",San Diego,@,Atlanta,1,0,,1.0,,0.2,2,1,1,0,0,0,0,13.5,,4,1,0,0,0,0,0,0,0,4,17,0.65,0.24,0.18,0.0,0.5,0.0,3.0,0.5,0.0,,622503
Jose Cuas,29,0,Maj-AL,"Apr 6, 2023",Kansas City,,Toronto,1,0,,,,2.0,3,1,1,0,1,0,0,4.5,,9,0,0,0,0,0,0,0,0,9,28,0.71,0.07,0.18,0.38,0.38,0.0,1.5,0.375,4.5,,621016
Mason Englert,23,0,Maj-AL,"Apr 6, 2023",Detroit,,Boston,1,0,,,,1.1,1,0,0,1,1,0,0,0.0,,5,1,0,0,0,0,0,0,0,6,25,0.6,0.08,0.24,0.5,0.25,0.0,1.5,0.25,6.8,1.0,669438
Kyle Freeland,30,0,Maj-NL,"Apr 6, 2023",Colorado,,Washington,1,1,1.0,,,6.2,4,0,0,2,5,0,0,0.0,69,23,0,0,0,0,0,0,1,0,25,86,0.67,0.13,0.05,0.28,0.39,0.0,0.9,0.222,6.8,2.5,607536
Yimi Garc\xc3\xada,32,0,Maj-AL,"Apr 6, 2023",Toronto,@,Kansas City,1,0,,,,0.2,0,0,0,0,2,0,0,0.0,,2,0,0,0,0,0,0,0,0,2,11,0.64,0.09,0.27,,,,0.0,,27.0,,554340
Amir Garrett,31,0,Maj-AL,"Apr 6, 2023",Kansas City,,Toronto,1,0,,,,0.1,0,0,0,0,1,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,5,0.6,0.4,0.2,,,,0.0,,27.0,,607237
Kevin Gausman,32,0,Maj-AL,"Apr 6, 2023",Toronto,@,Kansas City,1,1,1.0,,,6.0,4,0,0,2,7,0,0,0.0,69,22,0,0,0,0,0,0,0,0,24,86,0.65,0.17,0.1,0.27,0.27,0.13,1.0,0.267,10.5,3.5,592332
Kevin Ginkel,29,0,Maj-NL,"Apr 6, 2023",Arizona,,Los Angeles,1,0,,,,1.1,0,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,12,0.67,0.25,0.17,0.33,0.33,0.0,0.0,0.0,6.8,,656464
Josiah Gray,25,0,Maj-NL,"Apr 6, 2023",Washington,@,Colorado,1,1,,1.0,,6.0,8,1,1,1,6,0,0,1.5,57,26,2,0,0,0,0,0,0,0,27,102,0.63,0.12,0.18,0.45,0.15,0.05,1.5,0.4,9.0,6.0,680686
Tim Hill,33,0,Maj-NL,"Apr 6, 2023",San Diego,@,Atlanta,1,0,,,,1.0,4,2,2,0,1,0,0,18.0,,7,1,0,0,0,0,0,0,0,7,22,0.82,0.14,0.14,0.83,0.0,0.0,4.0,0.667,9.0,,657612
Kenley Jansen,35,0,Maj-AL,"Apr 6, 2023",Boston,@,Detroit,1,0,,,1.0,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,16,0.69,0.13,0.13,0.33,0.0,0.0,0.0,0.0,0.0,,445276
Pierce Johnson,32,0,Maj-NL,"Apr 6, 2023",Colorado,,Washington,1,0,,,1.0,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,9,0.89,0.33,0.22,1.0,0.0,0.0,0.0,0.0,18.0,,572955
Jakob Junis,30,0,Maj-NL,"Apr 6, 2023",San Francisco,@,Chicago,1,0,1.0,,,4.0,2,0,0,2,4,0,0,0.0,,14,0,0,0,0,0,0,0,1,16,69,0.64,0.19,0.13,0.5,0.2,0.0,1.0,0.2,9.0,2.0,596001
Merrill Kelly,34,0,Maj-NL,"Apr 6, 2023",Arizona,,Los Angeles,1,1,,1.0,,5.2,6,4,4,4,4,0,0,6.35,41,21,3,0,0,1,0,0,0,0,25,99,0.58,0.18,0.09,0.53,0.18,0.0,1.765,0.353,6.4,1.0,518876
Alex Lange,27,0,Maj-AL,"Apr 6, 2023",Detroit,,Boston,1,0,,,,0.2,0,0,0,1,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,8,0.38,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,656638
Justin Lawrence,28,0,Maj-NL,"Apr 6, 2023",Colorado,,Washington,1,0,,,,1.1,2,0,0,0,1,0,0,0.0,,6,0,0,0,0,0,0,0,0,6,19,0.74,0.26,0.11,0.8,0.0,0.0,1.5,0.4,6.8,,664875
Lucas Luetge,36,0,Maj-NL,"Apr 6, 2023",Atlanta,,San Diego,1,0,,,,1.0,1,1,1,1,0,1,0,9.0,,4,0,0,0,0,0,0,0,0,5,24,0.58,0.13,0.04,0.5,0.25,0.0,2.0,0.0,0.0,0.0,476595
Jordan Lyles,32,0,Maj-AL,"Apr 6, 2023",Kansas City,,Toronto,1,1,,1.0,,5.2,8,5,5,0,9,2,0,7.94,42,25,3,0,0,0,0,0,0,0,25,106,0.69,0.19,0.08,0.38,0.31,0.06,1.412,0.429,14.3,,543475
Lance Lynn,36,0,Maj-AL,"Apr 6, 2023",Chicago,,San Francisco,1,1,,1.0,,4.1,9,8,8,3,5,3,0,16.62,15,22,2,0,0,0,0,0,0,0,25,99,0.61,0.18,0.09,0.29,0.24,0.18,2.769,0.429,10.4,1.67,458681
Chris Martin,37,0,Maj-AL,"Apr 6, 2023",Boston,@,Detroit,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,15,0.73,0.13,0.13,1.0,0.0,0.0,1.0,0.25,0.0,,455119
Dustin May,25,0,Maj-NL,"Apr 6, 2023",Los Angeles,@,Arizona,1,1,1.0,,,6.0,2,1,1,2,5,0,0,1.5,67,20,1,0,0,0,0,0,0,0,22,83,0.7,0.16,0.06,0.27,0.33,0.13,0.667,0.133,7.5,2.5,669160
Tim Mayza,31,0,Maj-AL,"Apr 6, 2023",Toronto,@,Kansas City,1,0,,,,0.1,2,0,0,0,0,0,0,0.0,,3,1,0,0,0,0,0,0,0,3,6,0.67,0.17,0.0,0.33,0.67,0.0,6.0,0.667,0.0,,641835
A.J. Minter,29,0,Maj-NL,"Apr 6, 2023",Atlanta,,San Diego,1,0,1.0,,,1.0,1,0,0,1,1,0,0,0.0,,3,0,0,0,1,0,0,0,0,4,20,0.7,0.2,0.15,1.0,0.0,0.0,2.0,0.5,9.0,1.0,621345
