Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Keegan Akin,28,0,Maj-AL,"Apr 2, 2023",Baltimore,@,Boston,1,0,,,,0.1,2,2,2,0,0,0,0,54.0,,3,1,0,0,0,0,0,0,0,3,8,0.88,0.38,0.0,0.0,0.67,0.33,6.0,0.667,0.0,,669211
Scott Alexander,33,0,Maj-NL,"Apr 2, 2023",San Francisco,@,New York,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,14,0.64,0.07,0.0,1.0,0.0,0.0,1.0,0.25,0.0,,518397
Adbert Alzolay,28,0,Maj-NL,"Apr 2, 2023",Chicago,,Milwaukee,1,0,,,,2.0,0,0,0,0,3,0,0,0.0,,7,0,0,0,0,0,0,0,0,7,22,0.68,0.18,0.14,0.75,0.25,0.0,0.0,0.0,13.5,,640470
Tyler Anderson,33,0,Maj-AL,"Apr 2, 2023",Los Angeles,@,Oakland,1,1,1.0,,,6.0,4,0,0,2,4,0,1,0.0,66,21,1,0,0,1,0,0,0,0,24,93,0.63,0.12,0.12,0.41,0.06,0.18,1.0,0.235,6.0,2.0,542881
Graham Ashcraft,25,0,Maj-NL,"Apr 2, 2023",Cincinnati,,Pittsburgh,1,1,1.0,,,7.0,4,1,1,1,6,1,0,1.29,70,25,1,0,0,0,0,1,0,0,26,95,0.66,0.16,0.09,0.53,0.16,0.11,0.714,0.167,7.7,6.0,668933
Bryan Baker,28,0,Maj-AL,"Apr 2, 2023",Baltimore,@,Boston,1,0,,,,2.0,1,0,0,0,2,0,0,0.0,,7,0,0,0,0,0,0,0,0,8,25,0.72,0.24,0.12,0.33,0.17,0.0,0.5,0.2,9.0,,641329
Scott Barlow,30,0,Maj-AL,"Apr 2, 2023",Kansas City,,Minnesota,1,0,,,,1.0,0,0,0,1,0,0,0,0.0,,2,0,0,0,1,0,0,0,0,3,13,0.31,0.15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,605130
Matt Barnes,33,0,Maj-NL,"Apr 2, 2023",Miami,,New York,1,0,,,,1.0,0,0,0,1,0,0,0,0.0,,3,0,0,0,0,0,1,0,0,4,12,0.5,0.17,0.0,0.33,0.33,0.0,1.0,0.0,0.0,0.0,598264
Anthony Bass,35,0,Maj-AL,"Apr 2, 2023",Toronto,@,St. Louis,1,0,,,,1.0,2,0,0,0,0,0,0,0.0,,4,1,0,0,1,0,0,0,0,4,11,0.64,0.09,0.0,0.5,0.5,0.0,2.0,0.5,0.0,,542914
Chris Bassitt,34,0,Maj-AL,"Apr 2, 2023",Toronto,@,St. Louis,1,1,,1.0,,3.1,10,9,9,0,0,4,0,24.3,4,18,1,0,0,1,1,1,0,0,19,57,0.67,0.11,0.07,0.26,0.32,0.0,3.0,0.4,0.0,,605135
Mike Baumann,27,0,Maj-AL,"Apr 2, 2023",Baltimore,@,Boston,1,0,,,,1.2,3,1,1,2,1,0,0,5.4,,8,0,0,0,0,0,1,0,0,10,43,0.63,0.16,0.09,0.0,0.71,0.14,3.0,0.429,5.4,0.5,657508
Jalen Beeks,29,0,Maj-AL,"Apr 2, 2023",Tampa Bay,,Detroit,1,0,,,,1.0,1,1,1,0,1,1,0,9.0,,4,0,0,0,0,0,0,0,0,4,11,0.64,0.18,0.0,0.33,0.0,0.0,1.0,0.0,9.0,,656222
Andrew Bellatti,31,0,Maj-NL,"Apr 2, 2023",Philadelphia,@,Texas,1,0,,,,0.2,0,0,0,0,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,2,3,1.0,0.33,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,571479
Richard Bleier,36,0,Maj-AL,"Apr 2, 2023",Boston,,Baltimore,1,0,,,,1.0,3,2,2,0,2,0,0,18.0,,6,1,0,0,0,0,0,0,0,6,30,0.73,0.13,0.13,0.5,0.5,0.0,3.0,0.75,18.0,,542947
Matt Brash,25,0,Maj-AL,"Apr 2, 2023",Seattle,,Cleveland,1,0,,,,1.0,2,1,1,0,1,0,0,9.0,,5,1,0,0,0,0,0,0,0,5,18,0.67,0.11,0.11,0.5,0.0,0.0,2.0,0.5,9.0,,666374
Huascar Brazoban,33,0,Maj-NL,"Apr 2, 2023",Miami,,New York,1,0,,,,2.2,1,1,1,1,2,0,1,3.38,,8,1,0,0,1,0,0,0,0,10,36,0.67,0.08,0.19,0.67,0.17,0.0,0.75,0.167,6.8,2.0,623211
Colten Brewer,30,0,Maj-AL,"Apr 2, 2023",New York,,San Francisco,1,0,,,,2.0,0,0,0,1,1,0,1,0.0,,6,0,0,0,0,0,0,0,0,8,24,0.63,0.17,0.13,0.8,0.2,0.0,0.5,0.0,4.5,1.0,605155
Jhony Brito,25,0,Maj-AL,"Apr 2, 2023",New York,,San Francisco,1,1,1.0,,,5.0,2,0,0,1,6,0,0,0.0,68,16,0,0,0,1,0,0,0,0,17,76,0.67,0.12,0.2,0.6,0.1,0.0,0.6,0.2,10.8,6.0,666745
Connor Brogdon,28,0,Maj-NL,"Apr 2, 2023",Philadelphia,@,Texas,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,1,0,0,0,0,0,0,0,4,14,0.64,0.07,0.07,0.0,0.0,0.0,1.0,0.333,9.0,,641401
Aaron Bummer,29,0,Maj-AL,"Apr 2, 2023",Chicago,@,Houston,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,7,0.86,0.43,0.0,0.67,0.33,0.0,0.0,0.0,0.0,,607481
Brock Burke,26,0,Maj-AL,"Apr 2, 2023",Texas,,Philadelphia,1,0,,,,0.2,1,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,7,0.57,0.14,0.0,0.0,0.33,0.33,1.5,0.333,0.0,,656271
Miguel Castro,28,0,Maj-NL,"Apr 2, 2023",Arizona,@,Los Angeles,1,0,,,,1.2,0,0,0,1,2,0,0,0.0,,5,0,0,0,0,0,1,0,0,6,22,0.68,0.18,0.18,0.0,0.67,0.33,0.6,0.0,10.8,2.0,612434
Andrew Chafin,33,0,Maj-NL,"Apr 2, 2023",Arizona,@,Los Angeles,1,0,1.0,,,0.2,0,0,0,1,2,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,15,0.6,0.2,0.27,,,,1.5,,27.0,2.0,605177
