Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Albert Abreu,27,0,Maj-AL,"Apr 9, 2023",New York,@,Baltimore,1,0,,,,1.0,1,0,0,1,2,0,0,0.0,,4,1,0,0,0,0,0,0,0,5,19,0.53,0.26,0.11,0.0,0.5,0.0,2.0,0.5,18.0,2.0,656061
Bryan Abreu,26,0,Maj-AL,"Apr 9, 2023",Houston,@,Minnesota,1,0,,,,1.0,0,0,0,1,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,24,0.63,0.04,0.29,,,,1.0,,27.0,3.0,650556
Jason Adam,31,0,Maj-AL,"Apr 9, 2023",Tampa Bay,,Oakland,1,0,,,,1.0,0,0,0,1,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,22,0.5,0.18,0.0,0.0,0.0,0.5,1.0,0.0,9.0,1.0,592094
Jorge Alcala,27,0,Maj-AL,"Apr 9, 2023",Minnesota,,Houston,1,0,,,,1.2,1,1,0,2,1,0,0,0.0,,6,0,0,0,1,0,0,0,0,8,45,0.56,0.24,0.0,0.6,0.0,0.0,1.8,0.2,5.4,0.5,660896
Scott Alexander,33,0,Maj-NL,"Apr 9, 2023",San Francisco,,Kansas City,1,0,,,,0.2,1,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,13,0.69,0.15,0.08,0.5,0.5,0.0,1.5,0.5,13.5,,518397
Jos\xc3\xa9 Alvarado,28,0,Maj-NL,"Apr 9, 2023",Philadelphia,,Cincinnati,1,0,,,,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,19,0.63,0.21,0.16,,,,0.0,,27.0,,621237
Javier Assad,25,0,Maj-NL,"Apr 9, 2023",Chicago,,Texas,1,0,,,,3.0,4,3,3,1,3,0,0,9.0,,13,1,1,0,0,0,0,0,0,14,45,0.67,0.22,0.07,0.4,0.2,0.1,1.667,0.4,9.0,3.0,665871
Jaime Barria,26,0,Maj-AL,"Apr 9, 2023",Los Angeles,,Toronto,1,0,,,,2.0,0,0,0,1,1,0,0,0.0,,5,0,0,0,0,0,0,0,1,6,25,0.56,0.16,0.04,1.0,0.0,0.0,0.5,0.0,4.5,1.0,642545
Mike Baumann,27,0,Maj-AL,"Apr 9, 2023",Baltimore,,New York,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,13,0.62,0.23,0.08,0.0,0.0,0.0,0.0,0.0,18.0,,657508
David Bednar,28,0,Maj-NL,"Apr 9, 2023",Pittsburgh,,Chicago,1,0,,,1.0,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,13,0.77,0.23,0.31,0.0,0.5,0.5,1.0,0.5,18.0,,670280
Phil Bickford,27,0,Maj-NL,"Apr 9, 2023",Los Angeles,@,Arizona,1,0,,,,2.0,0,0,0,0,3,0,0,0.0,,7,0,0,0,0,0,0,0,0,7,27,0.67,0.15,0.22,0.0,0.25,0.25,0.0,0.0,13.5,,641360
Jake Bird,27,0,Maj-NL,"Apr 9, 2023",Colorado,,Washington,1,0,,,,0.2,2,3,3,0,1,0,1,40.5,,4,0,0,0,0,0,0,0,0,5,14,0.64,0.14,0.14,0.67,0.0,0.0,3.0,0.667,13.5,,656234
Matthew Boyd,32,0,Maj-AL,"Apr 9, 2023",Detroit,,Boston,1,1,,1.0,,4.2,5,2,2,4,4,0,0,3.86,46,18,2,0,0,1,0,0,0,0,22,75,0.61,0.12,0.09,0.36,0.36,0.21,1.929,0.357,7.7,1.0,571510
Matt Brash,25,0,Maj-AL,"Apr 9, 2023",Seattle,@,Cleveland,1,0,,,,1.0,2,2,2,1,3,0,0,18.0,,5,1,0,0,0,0,0,0,0,6,25,0.52,0.08,0.16,0.0,0.5,0.0,3.0,1.0,27.0,3.0,666374
John Brebbia,33,0,Maj-NL,"Apr 9, 2023",San Francisco,,Kansas City,1,0,1.0,,,0.1,0,0,0,0,1,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,5,0.6,0.2,0.4,,,,0.0,,27.0,,605154
Connor Brogdon,28,0,Maj-NL,"Apr 9, 2023",Philadelphia,,Cincinnati,1,0,,,,0.1,0,0,0,1,1,0,0,0.0,,1,0,0,0,0,0,0,0,0,2,10,0.5,0.3,0.2,,,,3.0,,27.0,1.0,641401
Hunter Brown,24,0,Maj-AL,"Apr 9, 2023",Houston,@,Minnesota,1,1,1.0,,,7.0,2,1,0,2,7,0,1,0.0,76,21,1,0,0,1,0,0,1,1,24,97,0.59,0.14,0.14,0.64,0.07,0.07,0.571,0.143,9.0,3.5,686613
