Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Albert Abreu,27,0,Maj-AL,"Apr 1, 2023",New York,,San Francisco,1,0,,,,2.0,0,0,0,1,3,0,0,0.0,,6,0,0,0,0,0,0,0,0,7,29,0.59,0.17,0.1,0.67,0.0,0.0,0.5,0.0,13.5,3.0,656061
Keegan Akin,28,0,Maj-AL,"Apr 1, 2023",Baltimore,@,Boston,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,2,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,669211
Jorge Alcala,27,0,Maj-AL,"Apr 1, 2023",Minnesota,@,Kansas City,1,0,,,,1.0,0,0,0,1,0,0,0,0.0,,2,0,0,0,1,0,0,0,0,3,12,0.58,0.0,0.17,0.5,0.0,0.0,1.0,0.0,0.0,0.0,660896
Tyler Alexander,28,0,Maj-AL,"Apr 1, 2023",Detroit,@,Tampa Bay,1,0,,,,3.1,2,2,2,0,7,1,0,5.4,,12,0,0,0,0,0,0,0,0,12,58,0.72,0.28,0.05,0.4,0.6,0.0,0.6,0.25,18.9,,641302
Jos\xc3\xa9 Alvarado,28,0,Maj-NL,"Apr 1, 2023",Philadelphia,@,Texas,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,18,0.67,0.11,0.11,0.5,0.5,0.0,1.0,0.5,18.0,,621237
Nick Anderson,32,0,Maj-NL,"Apr 1, 2023",Atlanta,@,Washington,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,10,0.8,0.3,0.3,0.0,0.0,0.0,0.0,0.0,9.0,,623433
Javier Assad,25,0,Maj-NL,"Apr 1, 2023",Chicago,,Milwaukee,1,0,,1.0,,1.1,2,3,3,1,2,0,0,20.25,,6,0,0,0,0,0,1,0,0,7,28,0.54,0.21,0.07,0.75,0.25,0.0,2.25,0.5,13.5,2.0,665871
Anthony Banda,29,0,Maj-NL,"Apr 1, 2023",Washington,,Atlanta,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,13,0.69,0.0,0.23,1.0,0.0,0.0,1.0,0.333,9.0,,607455
Matt Barnes,33,0,Maj-NL,"Apr 1, 2023",Miami,,New York,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,1,0,0,4,21,0.67,0.19,0.1,0.67,0.0,0.0,1.0,0.333,9.0,,598264
Mike Baumann,27,0,Maj-AL,"Apr 1, 2023",Baltimore,@,Boston,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,16,0.5,0.06,0.06,0.33,0.33,0.0,0.0,0.0,0.0,,657508
