Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Bryan Abreu,26,0,Maj-AL,"Apr 5, 2023",Houston,,Detroit,1,0,,,,1.0,0,0,0,2,1,0,0,0.0,,2,0,0,0,1,0,0,0,0,4,16,0.38,0.25,0.06,1.0,0.0,0.0,2.0,0.0,9.0,0.5,650556
Domingo Acevedo,29,0,Maj-AL,"Apr 5, 2023",Oakland,,Cleveland,1,0,,,,0.1,1,0,0,0,0,0,0,0.0,,2,1,0,0,0,0,0,0,0,2,3,0.67,0.0,0.0,0.0,0.5,0.0,3.0,0.5,0.0,,642758
Keegan Akin,28,0,Maj-AL,"Apr 5, 2023",Baltimore,@,Texas,1,0,,,,0.2,1,0,0,0,0,0,0,0.0,,3,1,0,0,0,0,0,0,0,3,9,0.67,0.22,0.0,0.0,0.33,0.33,1.5,0.333,0.0,,669211
Scott Alexander,33,0,Maj-NL,"Apr 5, 2023",San Francisco,@,Chicago,1,0,,,,0.1,0,0,0,0,1,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,5,0.6,0.2,0.4,,,,0.0,,27.0,,518397
Tyler Alexander,28,0,Maj-AL,"Apr 5, 2023",Detroit,@,Houston,1,0,,,,2.0,3,2,2,0,1,1,0,9.0,,8,2,0,0,0,1,0,0,0,9,45,0.71,0.13,0.02,0.13,0.25,0.0,1.5,0.286,4.5,,641302
Bryan Baker,28,0,Maj-AL,"Apr 5, 2023",Baltimore,@,Texas,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,16,0.5,0.13,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,641329
Anthony Banda,29,0,Maj-NL,"Apr 5, 2023",Washington,,Tampa Bay,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,8,0.75,0.13,0.0,0.67,0.0,0.0,0.0,0.0,0.0,,607455
Richard Bleier,36,0,Maj-AL,"Apr 5, 2023",Boston,,Pittsburgh,1,0,,,,1.0,1,0,0,1,0,0,0,0.0,,3,0,0,0,1,0,0,0,0,4,19,0.58,0.05,0.05,0.67,0.33,0.0,2.0,0.333,0.0,0.0,542947
Matt Brash,25,0,Maj-AL,"Apr 5, 2023",Seattle,,Los Angeles,1,0,,,,1.0,0,0,0,2,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,5,24,0.46,0.21,0.13,0.0,0.0,0.0,2.0,0.0,18.0,1.0,666374
Aaron Bummer,29,0,Maj-AL,"Apr 5, 2023",Chicago,,San Francisco,1,0,,,,0.2,1,0,0,1,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,15,0.53,0.2,0.13,0.0,0.5,0.0,3.0,0.5,13.5,1.0,607481
