Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Albert Abreu,27,0,Maj-AL,"Apr 4, 2023",New York,,Philadelphia,1,0,,,,2.0,2,0,0,1,1,0,0,0.0,,8,1,0,0,0,0,1,0,0,9,42,0.6,0.1,0.05,0.43,0.14,0.14,1.5,0.286,4.5,1.0,656061
Sandy Alcantara,27,0,Maj-NL,"Apr 4, 2023",Miami,,Minnesota,1,1,1.0,,,9.0,3,0,0,1,5,0,0,0.0,85,29,0,0,0,1,0,0,0,0,30,100,0.68,0.12,0.15,0.42,0.21,0.0,0.444,0.125,5.0,5.0,645261
Jos\xc3\xa9 Alvarado,28,0,Maj-NL,"Apr 4, 2023",Philadelphia,@,New York,1,0,,,,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.83,0.25,0.5,,,,0.0,,27.0,,621237
Adbert Alzolay,28,0,Maj-NL,"Apr 4, 2023",Chicago,@,Cincinnati,1,0,1.0,,,2.2,2,2,2,0,5,1,0,6.75,,10,0,0,0,0,0,0,0,0,10,44,0.73,0.16,0.18,0.6,0.0,0.2,0.75,0.25,16.9,,640470
Jaime Barria,26,0,Maj-AL,"Apr 4, 2023",Los Angeles,@,Seattle,1,0,,,,3.2,5,4,4,0,5,2,0,9.82,,15,1,0,0,0,0,0,0,0,15,56,0.66,0.16,0.14,0.4,0.4,0.0,1.364,0.375,12.3,,642545
David Bednar,28,0,Maj-NL,"Apr 4, 2023",Pittsburgh,@,Boston,1,0,,,1.0,1.0,0,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,11,0.64,0.0,0.18,0.33,0.0,0.33,0.0,0.0,9.0,,670280
Jalen Beeks,29,0,Maj-AL,"Apr 4, 2023",Tampa Bay,@,Washington,1,0,,,,2.0,2,0,0,1,1,0,0,0.0,,6,0,0,0,2,0,0,0,0,7,17,0.53,0.06,0.06,0.8,0.2,0.0,1.5,0.4,4.5,1.0,656222
Andrew Bellatti,31,0,Maj-NL,"Apr 4, 2023",Philadelphia,@,New York,1,0,1.0,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,17,0.59,0.18,0.18,0.0,1.0,0.0,0.0,0.0,18.0,,571479
Phil Bickford,27,0,Maj-NL,"Apr 4, 2023",Los Angeles,,Colorado,1,0,,,,0.1,2,2,2,1,1,0,0,54.0,,3,2,0,0,0,0,0,0,0,4,15,0.6,0.2,0.13,0.0,1.0,0.0,9.0,1.0,27.0,1.0,641360
Shane Bieber,28,0,Maj-AL,"Apr 4, 2023",Cleveland,@,Oakland,1,1,,,,6.0,3,3,3,1,7,0,0,4.5,60,21,1,0,0,0,1,1,0,0,23,89,0.73,0.18,0.12,0.53,0.2,0.07,0.667,0.2,10.5,7.0,669456
Brad Boxberger,35,0,Maj-NL,"Apr 4, 2023",Chicago,@,Cincinnati,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,6,0.67,0.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,,502202
Matt Brash,25,0,Maj-AL,"Apr 4, 2023",Seattle,,Los Angeles,1,0,,,,0.1,1,0,0,0,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,2,5,0.8,0.2,0.2,1.0,0.0,0.0,3.0,0.5,0.0,,666374
Ryan Brasier,35,0,Maj-AL,"Apr 4, 2023",Boston,,Pittsburgh,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,15,0.6,0.07,0.0,0.33,0.0,0.33,0.0,0.0,0.0,,518489
Connor Brogdon,28,0,Maj-NL,"Apr 4, 2023",Philadelphia,@,New York,1,0,,,,2.0,1,0,0,0,1,0,0,0.0,,6,0,0,0,0,0,0,0,0,6,27,0.63,0.15,0.19,0.6,0.2,0.0,0.5,0.2,4.5,,641401
Kris Bubic,25,0,Maj-AL,"Apr 4, 2023",Kansas City,,Toronto,1,1,,1.0,,5.0,7,2,2,1,4,0,0,3.6,48,21,1,0,0,0,0,0,0,0,22,88,0.65,0.09,0.15,0.53,0.24,0.06,1.6,0.412,7.2,4.0,663460
Luis Castillo,30,0,Maj-AL,"Apr 4, 2023",Seattle,,Los Angeles,1,1,1.0,,,5.2,2,0,0,2,6,0,0,0.0,69,19,2,0,0,0,0,0,0,0,21,99,0.6,0.12,0.15,0.54,0.15,0.08,0.706,0.154,9.5,3.0,622491
Luis Cessa,31,0,Maj-NL,"Apr 4, 2023",Cincinnati,,Chicago,1,1,,,,5.1,4,2,2,3,2,0,0,3.38,51,20,1,0,0,0,1,0,0,0,24,83,0.61,0.17,0.06,0.42,0.26,0.05,1.313,0.211,3.4,0.67,570666
Aroldis Chapman,35,0,Maj-AL,"Apr 4, 2023",Kansas City,,Toronto,1,0,,,,1.0,0,0,0,1,1,0,0,0.0,,3,0,0,0,0,0,2,0,0,4,20,0.65,0.25,0.1,0.5,0.0,0.0,1.0,0.0,9.0,1.0,547973
Jesse Chavez,39,0,Maj-NL,"Apr 4, 2023",Atlanta,@,St. Louis,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,15,0.67,0.13,0.13,1.0,0.0,0.0,0.0,0.0,9.0,,445926
Roansy Contreras,23,0,Maj-NL,"Apr 4, 2023",Pittsburgh,@,Boston,1,1,1.0,,,5.2,3,1,1,1,2,0,0,1.59,60,21,1,0,0,0,0,0,0,0,22,78,0.68,0.19,0.08,0.53,0.37,0.05,0.706,0.158,3.2,2.0,672710
Jimmy Cordero,31,0,Maj-AL,"Apr 4, 2023",New York,,Philadelphia,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,11,0.91,0.36,0.27,1.0,0.0,0.0,0.0,0.0,18.0,,622772
Nabil Crismatt,28,0,Maj-NL,"Apr 4, 2023",San Diego,,Arizona,1,0,,,,1.0,3,3,3,2,1,0,0,27.0,,6,1,0,0,0,0,0,0,0,8,28,0.57,0.14,0.14,0.6,0.2,0.0,5.0,0.6,9.0,0.5,622503
Fernando Cruz,33,0,Maj-NL,"Apr 4, 2023",Cincinnati,,Chicago,1,0,,,,1.0,2,1,1,0,3,0,0,9.0,,5,0,0,0,0,0,1,0,0,5,19,0.89,0.32,0.16,0.0,1.0,0.0,2.0,1.0,27.0,,518585
Yu Darvish,36,0,Maj-NL,"Apr 4, 2023",San Diego,,Arizona,1,1,,,,5.0,3,1,1,4,3,0,2,1.8,56,14,1,0,0,2,1,1,1,0,21,91,0.56,0.21,0.04,0.42,0.33,0.08,1.4,0.25,5.4,0.75,506433
Enyel De Los Santos,27,0,Maj-AL,"Apr 4, 2023",Cleveland,@,Oakland,1,0,,,,1.0,1,0,0,1,1,0,0,0.0,,4,1,0,0,0,0,0,0,0,5,17,0.65,0.12,0.12,0.0,0.33,0.0,2.0,0.333,9.0,1.0,660853
Dylan Dodd,25,0,Maj-NL,"Apr 4, 2023",Atlanta,@,St. Louis,1,1,1.0,,,5.0,6,1,1,0,3,0,0,1.8,54,19,1,0,0,1,0,0,0,0,19,73,0.71,0.15,0.14,0.44,0.25,0.13,1.2,0.375,5.4,,689266
Dane Dunning,28,0,Maj-AL,"Apr 4, 2023",Texas,,Baltimore,1,0,,,,4.0,1,0,0,1,1,0,1,0.0,,13,1,0,0,0,0,0,0,0,15,65,0.6,0.15,0.08,0.17,0.08,0.08,0.5,0.083,2.3,1.0,641540
Carl Edwards Jr.,31,0,Maj-NL,"Apr 4, 2023",Washington,,Tampa Bay,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.67,0.08,0.17,0.5,0.0,0.0,0.0,0.0,9.0,,605218
Pete Fairbanks,29,0,Maj-AL,"Apr 4, 2023",Tampa Bay,@,Washington,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,8,0.88,0.38,0.0,0.33,0.0,0.33,0.0,0.0,0.0,,664126
Buck Farmer,32,0,Maj-NL,"Apr 4, 2023",Cincinnati,,Chicago,1,0,,1.0,,0.0,2,3,3,1,0,0,0,inf,,2,2,0,0,0,0,0,0,0,3,9,0.44,0.22,0.0,0.0,1.0,0.0,,1.0,,0.0,571656
Caleb Ferguson,26,0,Maj-NL,"Apr 4, 2023",Los Angeles,,Colorado,1,0,,,,1.0,0,0,0,1,0,0,0,0.0,,3,0,0,0,1,0,0,0,0,4,14,0.5,0.07,0.07,0.67,0.0,0.33,1.0,0.0,0.0,0.0,657571
Kyle Finnegan,31,0,Maj-NL,"Apr 4, 2023",Washington,,Tampa Bay,1,0,,1.0,,0.1,5,5,5,1,0,3,0,135.0,,5,1,0,0,0,0,1,1,1,6,24,0.58,0.17,0.0,0.0,0.4,0.0,18.0,1.0,0.0,0.0,640448
Josh Fleming,27,0,Maj-AL,"Apr 4, 2023",Tampa Bay,@,Washington,1,1,,,,3.0,10,5,5,1,2,0,0,15.0,20,18,2,0,0,1,0,0,0,0,19,71,0.7,0.15,0.08,0.5,0.38,0.06,3.667,0.625,6.0,2.0,676596
Jason Foley,27,0,Maj-AL,"Apr 4, 2023",Detroit,@,Houston,1,0,,,,1.1,1,0,0,1,0,0,0,0.0,,4,0,0,0,1,0,0,0,0,5,23,0.61,0.13,0.04,0.75,0.0,0.0,1.5,0.25,0.0,0.0,671345
Giovanny Gallegos,31,0,Maj-NL,"Apr 4, 2023",St. Louis,,Atlanta,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,14,0.71,0.21,0.29,0.0,1.0,0.0,1.0,0.5,18.0,,606149
Zac Gallen,27,0,Maj-NL,"Apr 4, 2023",Arizona,@,San Diego,1,1,,,,6.0,7,5,4,1,3,2,0,6.0,42,25,2,0,0,0,0,0,0,0,26,87,0.68,0.24,0.09,0.36,0.23,0.14,1.333,0.25,4.5,3.0,668678
