Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Bryan Abreu,26,0,Maj-AL,"Mar 31, 2023",Houston,,Chicago,1,0,,,,1.0,1,0,0,0,3,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,12,0.92,0.33,0.42,1.0,0.0,0.0,1.0,1.0,27.0,,650556
Andrew Chafin,33,0,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,0,,,1.0,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,10,0.7,0.2,0.2,0.67,0.0,0.0,0.0,0.0,0.0,,605177
JT Chargois,32,0,Maj-NL,"Mar 31, 2023",Miami,,New York,1,0,,,,1.1,0,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,14,0.79,0.21,0.0,0.67,0.33,0.0,0.0,0.0,6.8,,608638
Emmanuel Clase,25,0,Maj-AL,"Mar 31, 2023",Cleveland,@,Seattle,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,10,0.8,0.3,0.3,0.0,0.0,1.0,0.0,0.0,18.0,,661403
John Curtiss,30,0,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,0,,,,1.0,1,1,1,0,0,1,0,9.0,,4,0,0,0,0,0,0,0,0,4,12,0.5,0.08,0.0,0.0,0.25,0.0,1.0,0.0,0.0,,595928
Enyel De Los Santos,27,0,Maj-AL,"Mar 31, 2023",Cleveland,@,Seattle,1,0,,,,1.0,0,0,0,1,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,19,0.63,0.0,0.11,0.5,0.0,0.5,1.0,0.0,9.0,1.0,660853
Jake Diekman,36,0,Maj-AL,"Mar 31, 2023",Chicago,@,Houston,1,0,,,,0.1,1,1,1,1,0,0,0,27.0,,2,1,0,0,0,0,0,0,0,3,12,0.58,0.17,0.08,0.0,0.5,0.0,6.0,0.5,0.0,0.0,518617
Caleb Ferguson,26,0,Maj-NL,"Mar 31, 2023",Los Angeles,,Arizona,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,15,0.8,0.2,0.13,1.0,0.0,0.0,1.0,0.333,9.0,,657571
Chris Flexen,28,0,Maj-AL,"Mar 31, 2023",Seattle,,Cleveland,1,0,,,,4.0,4,1,1,3,1,0,0,2.25,,15,1,0,0,0,0,0,0,0,18,66,0.59,0.09,0.23,0.36,0.43,0.0,1.75,0.286,2.3,0.33,623167
Dylan Floro,32,0,Maj-NL,"Mar 31, 2023",Miami,,New York,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,,4,1,0,0,0,0,0,0,0,4,11,0.64,0.18,0.0,0.25,0.25,0.0,1.0,0.25,0.0,,571670
Kyle Freeland,30,0,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,1,1.0,,,6.0,3,0,0,1,1,0,0,0.0,66,20,2,0,0,1,0,0,0,0,21,74,0.65,0.2,0.03,0.32,0.16,0.16,0.667,0.158,1.5,1.0,607536
Hunter Gaddis,25,0,Maj-AL,"Mar 31, 2023",Cleveland,@,Seattle,1,1,,,,3.2,5,4,4,1,4,0,1,9.82,38,16,3,0,0,0,0,0,0,0,18,70,0.7,0.16,0.06,0.25,0.42,0.08,1.636,0.417,9.8,4.0,683769
Luis Garc\xc3\xada,36,0,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,0,,,,1.0,1,0,0,1,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,5,26,0.58,0.08,0.23,0.5,0.0,0.0,2.0,0.5,18.0,2.0,472610
Trevor Gott,30,0,Maj-AL,"Mar 31, 2023",Seattle,,Cleveland,1,0,,,,1.1,4,3,0,0,0,0,0,0.0,,9,0,0,0,0,0,1,0,0,9,35,0.69,0.2,0.09,0.56,0.22,0.22,3.0,0.444,0.0,,641627
Kendall Graveman,32,0,Maj-AL,"Mar 31, 2023",Chicago,@,Houston,1,0,,1.0,,0.2,2,3,3,2,0,0,0,40.5,,3,0,0,0,1,0,0,0,0,5,15,0.47,0.13,0.0,0.33,0.33,0.0,6.0,0.667,0.0,0.0,608665
Brad Hand,33,0,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,0,,,,1.0,1,1,1,1,1,0,0,9.0,,3,0,0,0,0,1,0,0,0,5,21,0.62,0.19,0.0,0.33,0.33,0.0,2.0,0.333,9.0,1.0,543272
Tim Hill,33,0,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,0,,,,1.0,2,0,0,0,1,0,1,0.0,,4,0,0,0,1,0,0,0,0,5,14,0.71,0.21,0.14,0.67,0.33,0.0,2.0,0.667,9.0,,657612
Tommy Hunter,36,0,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,0,,,,2.0,1,0,0,0,0,0,0,0.0,,7,0,0,0,0,0,0,0,0,7,20,0.7,0.15,0.05,0.71,0.0,0.0,0.5,0.143,0.0,,488984
Drey Jameson,25,0,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,0,1.0,,,4.0,2,1,1,3,5,1,0,2.25,,14,0,0,0,0,0,0,0,0,17,66,0.58,0.17,0.18,0.33,0.11,0.0,1.25,0.125,11.3,1.67,686753
Cristian Javier,26,0,Maj-AL,"Mar 31, 2023",Houston,,Chicago,1,1,,,,5.0,8,3,3,1,6,0,0,5.4,44,22,4,0,0,1,0,2,0,0,23,82,0.78,0.13,0.23,0.44,0.25,0.06,1.8,0.5,10.8,6.0,664299
Pierce Johnson,32,0,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,0,,,1.0,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,19,0.74,0.26,0.16,0.5,0.0,0.5,1.0,0.5,18.0,,572955
Merrill Kelly,34,0,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,1,,,,3.2,3,0,0,4,4,0,0,0.0,55,13,1,0,0,0,0,0,1,0,17,74,0.57,0.05,0.15,0.33,0.33,0.0,1.909,0.333,9.8,1.0,518876
