Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Domingo Acevedo,29,0,Maj-AL,"Apr 8, 2023",Oakland,@,Tampa Bay,1,0,,,,1.0,3,4,4,1,0,2,0,36.0,,6,1,0,0,0,0,0,0,0,7,30,0.53,0.17,0.03,0.17,0.33,0.17,4.0,0.25,0.0,0.0,642758
Keegan Akin,28,0,Maj-AL,"Apr 8, 2023",Baltimore,,New York,1,0,,,,1.1,1,0,0,0,0,0,0,0.0,,4,0,0,0,0,0,0,1,0,4,17,0.71,0.18,0.0,0.25,0.25,0.25,0.75,0.25,0.0,,669211
Tyler Alexander,28,0,Maj-AL,"Apr 8, 2023",Detroit,,Boston,1,0,,,,3.0,6,4,4,0,1,1,0,12.0,,15,1,0,0,0,0,0,0,0,15,48,0.67,0.21,0.04,0.29,0.43,0.07,2.0,0.385,3.0,,641302
Tyler Anderson,33,0,Maj-AL,"Apr 8, 2023",Los Angeles,,Toronto,1,1,,,,4.2,7,5,5,2,4,3,0,9.64,32,21,0,0,0,0,0,0,0,0,23,88,0.69,0.14,0.09,0.35,0.18,0.0,1.929,0.286,7.7,2.0,542881
Anthony Banda,29,0,Maj-NL,"Apr 8, 2023",Washington,@,Colorado,1,0,,,,0.0,2,3,3,1,0,1,0,inf,,2,0,0,0,0,0,0,0,0,3,25,0.64,0.08,0.04,0.0,0.5,0.0,,1.0,,0.0,607455
Matt Barnes,33,0,Maj-NL,"Apr 8, 2023",Miami,@,New York,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,1,0,0,0,0,0,0,0,4,14,0.57,0.07,0.07,0.33,0.67,0.0,1.0,0.333,9.0,,598264
Jaime Barria,26,0,Maj-AL,"Apr 8, 2023",Los Angeles,,Toronto,1,0,1.0,,,1.0,0,0,0,0,2,0,1,0.0,,3,0,0,0,0,0,0,0,0,4,15,0.67,0.33,0.07,1.0,0.0,0.0,0.0,0.0,18.0,,642545
Anthony Bass,35,0,Maj-AL,"Apr 8, 2023",Toronto,@,Los Angeles,1,0,,,,1.0,2,2,2,1,1,1,0,18.0,,5,0,0,0,0,0,1,0,0,6,24,0.58,0.17,0.13,0.5,0.25,0.0,3.0,0.333,9.0,1.0,542914
Mike Baumann,27,0,Maj-AL,"Apr 8, 2023",Baltimore,,New York,1,0,,,,1.0,0,0,0,1,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,22,0.68,0.14,0.09,0.5,0.0,0.0,1.0,0.0,9.0,1.0,657508
Andrew Bellatti,31,0,Maj-NL,"Apr 8, 2023",Philadelphia,,Cincinnati,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,14,0.71,0.07,0.14,0.67,0.33,0.0,1.0,0.333,9.0,,571479
Jos\xc3\xa9 Berr\xc3\xados,29,0,Maj-AL,"Apr 8, 2023",Toronto,@,Los Angeles,1,1,,1.0,,4.0,6,6,4,1,5,1,0,9.0,34,18,2,0,0,1,0,0,0,0,19,71,0.61,0.17,0.17,0.54,0.23,0.0,1.75,0.417,11.3,5.0,621244
Ronel Blanco,29,0,Maj-AL,"Apr 8, 2023",Houston,@,Minnesota,1,0,,,,1.0,4,4,4,2,0,1,0,36.0,,7,0,0,0,0,0,0,0,0,9,30,0.53,0.1,0.1,0.14,0.43,0.0,6.0,0.5,0.0,0.0,669854
Brad Boxberger,35,0,Maj-NL,"Apr 8, 2023",Chicago,,Texas,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,14,0.5,0.14,0.07,0.33,0.0,0.0,0.0,0.0,0.0,,502202
Ryan Brasier,35,0,Maj-AL,"Apr 8, 2023",Boston,@,Detroit,1,0,,,,1.0,2,3,2,1,2,0,1,18.0,,6,0,0,0,0,0,0,0,0,8,27,0.7,0.11,0.22,0.5,0.25,0.0,3.0,0.5,18.0,2.0,518489
Huascar Brazoban,33,0,Maj-NL,"Apr 8, 2023",Miami,@,New York,1,0,,,,0.2,3,2,2,0,1,1,0,27.0,,5,1,0,0,0,0,0,0,0,5,17,0.59,0.12,0.12,0.0,0.75,0.0,4.5,0.667,13.5,,623211
John Brebbia,33,0,Maj-NL,"Apr 8, 2023",San Francisco,,Kansas City,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,6,0.67,0.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,,605154
Jhony Brito,25,0,Maj-AL,"Apr 8, 2023",New York,@,Baltimore,1,1,1.0,,,5.0,3,1,1,2,2,0,0,1.8,57,17,0,0,0,0,1,1,0,0,20,92,0.61,0.17,0.07,0.63,0.13,0.13,1.0,0.188,3.6,1.0,666745
Connor Brogdon,28,0,Maj-NL,"Apr 8, 2023",Philadelphia,,Cincinnati,1,0,,,,1.0,2,0,0,1,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,5,15,0.53,0.13,0.13,0.33,0.67,0.0,3.0,0.667,9.0,1.0,641401
Aaron Bummer,29,0,Maj-AL,"Apr 8, 2023",Chicago,@,Pittsburgh,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,15,0.67,0.27,0.07,0.67,0.0,0.0,1.0,0.333,9.0,,607481
Brock Burke,26,0,Maj-AL,"Apr 8, 2023",Texas,@,Chicago,1,0,,,,0.2,1,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,9,0.78,0.11,0.33,0.5,0.0,0.5,1.5,0.5,13.5,,656271
Aroldis Chapman,35,0,Maj-AL,"Apr 8, 2023",Kansas City,@,San Francisco,1,0,,,1.0,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,14,0.57,0.29,0.14,0.0,0.0,1.0,0.0,0.0,18.0,,547973
JT Chargois,32,0,Maj-NL,"Apr 8, 2023",Miami,@,New York,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,16,0.63,0.31,0.06,0.5,0.5,0.0,0.0,0.0,9.0,,608638
