Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Ron Marinaccio,27,0,Maj-AL,"Apr 7, 2023",New York,@,Baltimore,1,0,,1.0,,1.0,1,1,1,1,2,0,0,9.0,,4,0,0,0,0,0,2,0,0,5,29,0.55,0.21,0.14,0.5,0.5,0.0,2.0,0.5,18.0,2.0,676760
Nick Martinez,32,0,Maj-NL,"Apr 7, 2023",San Diego,@,Atlanta,1,1,,,,4.2,4,4,4,5,4,1,0,7.71,39,18,0,0,0,0,0,2,0,0,23,101,0.59,0.19,0.1,0.57,0.14,0.0,1.929,0.231,7.7,0.8,607259
Tylor Megill,27,0,Maj-NL,"Apr 7, 2023",New York,,Miami,1,1,1.0,,,6.0,3,0,0,2,3,0,0,0.0,67,20,1,0,0,1,0,0,0,0,22,88,0.58,0.19,0.09,0.53,0.06,0.18,0.833,0.177,4.5,1.5,656731
Shelby Miller,32,0,Maj-NL,"Apr 7, 2023",Los Angeles,@,Arizona,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,4,0.5,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,571946
Hoby Milner,32,0,Maj-NL,"Apr 7, 2023",Milwaukee,,St. Louis,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,7,0.57,0.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,571948
Rafael Montero,32,0,Maj-AL,"Apr 7, 2023",Houston,@,Minnesota,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,,3,0,0,0,1,0,0,0,0,3,10,0.6,0.1,0.2,0.67,0.0,0.0,1.0,0.333,0.0,,606160
Matt Moore,34,0,Maj-AL,"Apr 7, 2023",Los Angeles,,Toronto,1,0,,,,0.2,1,1,1,0,1,0,0,13.5,,3,0,0,0,0,0,0,0,0,3,9,0.67,0.22,0.22,0.0,0.5,0.0,1.5,0.5,13.5,,519043
Dauri Moreta,27,0,Maj-NL,"Apr 7, 2023",Pittsburgh,,Chicago,1,0,1.0,,,2.0,0,0,0,1,2,0,0,0.0,,6,0,0,0,0,0,0,0,0,7,31,0.52,0.13,0.1,0.25,0.0,0.0,0.5,0.0,9.0,2.0,664294
Andr\xc3\xa9s Mu\xc3\xb1oz,24,0,Maj-AL,"Apr 7, 2023",Seattle,@,Cleveland,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,11,0.64,0.09,0.18,0.5,0.0,0.0,0.0,0.0,9.0,,662253
Penn Murfee,29,0,Maj-AL,"Apr 7, 2023",Seattle,@,Cleveland,1,0,1.0,,,1.0,0,0,0,1,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,11,0.64,0.09,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,682171
Andrew Nardi,24,0,Maj-NL,"Apr 7, 2023",Miami,@,New York,1,0,,,,1.1,0,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,13,0.69,0.15,0.23,0.5,0.0,0.5,0.0,0.0,13.5,,677053
Packy Naughton,27,0,Maj-NL,"Apr 7, 2023",St. Louis,@,Milwaukee,1,0,,,,0.2,0,0,0,1,1,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,15,0.53,0.2,0.07,0.0,1.0,0.0,1.5,0.0,13.5,1.0,676050
Hector Neris,34,0,Maj-AL,"Apr 7, 2023",Houston,@,Minnesota,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,17,0.59,0.06,0.12,0.0,0.67,0.0,1.0,0.333,9.0,,593576
Adam Oller,28,0,Maj-AL,"Apr 7, 2023",Oakland,@,Tampa Bay,1,0,,,,5.0,2,1,1,3,3,1,0,1.8,,17,0,0,0,0,0,0,0,0,20,80,0.54,0.15,0.08,0.21,0.21,0.14,1.0,0.077,5.4,1.0,670124
Adam Ottavino,37,0,Maj-NL,"Apr 7, 2023",New York,,Miami,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,14,0.64,0.29,0.14,0.0,0.0,1.0,0.0,0.0,18.0,,493603
Andre Pallante,24,0,Maj-NL,"Apr 7, 2023",St. Louis,@,Milwaukee,1,0,,,,1.0,3,1,1,0,1,0,0,9.0,,6,0,0,0,0,0,0,0,0,6,27,0.59,0.19,0.07,0.8,0.2,0.0,3.0,0.6,9.0,,669467
Joel Payamps,29,0,Maj-NL,"Apr 7, 2023",Milwaukee,,St. Louis,1,0,,,,0.2,1,0,0,1,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,22,0.41,0.18,0.14,1.0,0.0,0.0,3.0,0.5,13.5,1.0,606303
Wandy Peralta,31,0,Maj-AL,"Apr 7, 2023",New York,@,Baltimore,1,0,,,,1.0,1,0,0,1,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,5,15,0.53,0.07,0.2,0.0,0.67,0.0,2.0,0.333,9.0,1.0,593974
Cionel P\xc3\xa9rez,27,0,Maj-AL,"Apr 7, 2023",Baltimore,,New York,1,0,1.0,,,1.0,3,1,1,0,1,0,0,9.0,,6,1,0,0,0,0,0,0,0,6,13,0.85,0.23,0.0,0.4,0.4,0.0,3.0,0.6,9.0,,672335
Ryan Pressly,34,0,Maj-AL,"Apr 7, 2023",Houston,@,Minnesota,1,0,,,,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,13,0.77,0.31,0.15,,,,0.0,,27.0,,519151
Cole Ragans,25,0,Maj-AL,"Apr 7, 2023",Texas,@,Chicago,1,0,,,,1.1,1,0,0,1,3,0,0,0.0,,5,0,0,0,0,0,0,0,0,6,29,0.59,0.17,0.14,1.0,0.0,0.0,1.5,0.5,20.3,3.0,666142
Brooks Raley,35,0,Maj-NL,"Apr 7, 2023",New York,,Miami,1,0,,,,0.1,1,0,0,0,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,2,13,0.54,0.23,0.08,1.0,0.0,0.0,3.0,0.5,0.0,,548384
Erasmo Ram\xc3\xadrez,33,0,Maj-NL,"Apr 7, 2023",Washington,@,Colorado,1,0,,,,0.1,3,3,3,0,0,0,0,81.0,,4,1,0,0,0,0,0,0,0,4,11,0.64,0.09,0.0,0.25,0.5,0.0,9.0,0.75,0.0,,541640
Denyi Reyes,26,0,Maj-NL,"Apr 7, 2023",New York,,Miami,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,3,0,0,0,1,0,0,0,0,3,10,0.7,0.0,0.3,0.5,0.5,0.0,1.0,0.5,9.0,,660593
Taylor Rogers,32,0,Maj-NL,"Apr 7, 2023",San Francisco,,Kansas City,1,0,,,,1.0,2,1,1,1,0,1,0,9.0,,4,0,0,0,0,0,0,0,0,5,12,0.5,0.17,0.0,0.0,0.25,0.0,3.0,0.333,0.0,0.0,573124
Jordan Romano,30,0,Maj-AL,"Apr 7, 2023",Toronto,@,Los Angeles,1,0,,,1.0,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,6,0.83,0.0,0.17,0.33,0.0,0.0,0.0,0.0,0.0,,605447
Nick Sandlin,26,0,Maj-AL,"Apr 7, 2023",Cleveland,,Seattle,1,0,,,,0.2,1,1,1,0,0,1,0,13.5,,3,0,0,0,0,0,0,0,0,3,14,0.71,0.14,0.07,0.0,0.0,0.0,1.5,0.0,0.0,,680704
Patrick Sandoval,26,0,Maj-AL,"Apr 7, 2023",Los Angeles,,Toronto,1,1,,,,6.0,6,1,1,1,2,0,0,1.5,57,23,1,0,0,0,0,0,1,0,24,89,0.63,0.13,0.12,0.48,0.29,0.0,1.167,0.286,3.0,2.0,663776
Reiver Sanmartin,27,0,Maj-NL,"Apr 7, 2023",Cincinnati,@,Philadelphia,1,0,,,,1.2,2,1,1,0,1,1,0,5.4,,7,0,0,0,0,0,0,0,0,7,27,0.56,0.15,0.07,0.67,0.17,0.0,1.2,0.2,5.4,,665665
Dennis Santana,27,0,Maj-NL,"Apr 7, 2023",New York,,Miami,1,0,,,,0.2,1,3,3,2,1,1,0,40.5,,3,0,0,0,0,0,0,0,0,5,28,0.57,0.14,0.11,0.0,0.5,0.0,4.5,0.0,13.5,0.5,642701
Clarke Schmidt,27,0,Maj-AL,"Apr 7, 2023",New York,@,Baltimore,1,1,,,,3.1,5,4,4,3,3,0,0,10.8,34,15,2,0,0,0,1,0,0,0,19,84,0.63,0.13,0.08,0.31,0.31,0.08,2.4,0.385,8.1,1.0,657376
Jesse Scholtens,29,0,Maj-AL,"Apr 7, 2023",Chicago,@,Pittsburgh,1,0,,,,3.0,3,1,1,2,4,0,0,3.0,,12,1,0,0,0,0,0,0,0,14,58,0.6,0.14,0.1,0.38,0.25,0.0,1.667,0.375,12.0,2.0,669947
Tanner Scott,28,0,Maj-NL,"Apr 7, 2023",Miami,@,New York,1,0,,,,1.0,0,2,2,2,0,0,1,18.0,,1,0,0,0,0,1,0,0,0,5,21,0.38,0.1,0.05,0.5,0.0,0.0,2.0,0.0,0.0,0.0,656945
Paul Sewald,33,0,Maj-AL,"Apr 7, 2023",Seattle,@,Cleveland,1,0,,,1.0,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,14,0.71,0.07,0.21,0.0,0.0,0.5,0.0,0.0,9.0,,623149
Jared Shuster,24,0,Maj-NL,"Apr 7, 2023",Atlanta,,San Diego,1,1,,,,4.0,6,4,4,4,4,0,0,9.0,34,18,2,0,0,0,0,3,0,0,22,91,0.57,0.24,0.07,0.43,0.14,0.0,2.5,0.429,9.0,1.0,694363
Gregory Soto,28,0,Maj-NL,"Apr 7, 2023",Philadelphia,,Cincinnati,1,0,1.0,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,11,0.82,0.36,0.18,0.0,0.33,0.0,0.0,0.0,0.0,,642397
Ryne Stanek,31,0,Maj-AL,"Apr 7, 2023",Houston,@,Minnesota,1,0,,1.0,,0.1,2,2,1,2,1,0,0,27.0,,3,0,0,1,0,0,0,0,0,5,23,0.48,0.17,0.09,1.0,0.0,0.0,12.0,1.0,27.0,0.5,592773
Chris Stratton,32,0,Maj-NL,"Apr 7, 2023",St. Louis,@,Milwaukee,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,608717
Marcus Stroman,32,0,Maj-NL,"Apr 7, 2023",Chicago,,Texas,1,1,1.0,,,6.0,2,0,0,3,6,0,1,0.0,71,19,0,0,0,1,0,0,0,0,23,89,0.58,0.18,0.08,0.62,0.31,0.08,0.833,0.154,9.0,2.0,573186
Erik Swanson,29,0,Maj-AL,"Apr 7, 2023",Toronto,@,Los Angeles,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,,4,1,0,0,0,0,0,0,0,4,17,0.71,0.12,0.06,0.0,0.5,0.0,1.0,0.25,0.0,,657024
Michael Tonkin,33,0,Maj-NL,"Apr 7, 2023",Atlanta,,San Diego,1,0,,1.0,,2.0,1,1,1,1,1,0,0,4.5,,5,0,0,0,0,1,0,0,0,8,33,0.64,0.09,0.12,0.67,0.0,0.0,1.0,0.2,4.5,1.0,543859
Jos\xc3\xa9 Ure\xc3\xb1a,31,0,Maj-NL,"Apr 7, 2023",Colorado,,Washington,1,1,,1.0,,2.2,7,6,4,3,1,2,0,13.5,22,14,0,1,0,1,1,0,0,0,18,71,0.56,0.11,0.06,0.36,0.29,0.07,3.75,0.417,3.4,0.33,570632
Jos\xc3\xa9 Urquidy,28,0,Maj-AL,"Apr 7, 2023",Houston,@,Minnesota,1,1,,,,5.1,7,1,1,1,6,0,0,1.69,55,23,1,0,0,0,0,0,0,0,24,95,0.66,0.13,0.13,0.24,0.24,0.24,1.5,0.412,10.1,6.0,664353
Gus Varland,26,0,Maj-NL,"Apr 7, 2023",Milwaukee,,St. Louis,1,0,,,,0.2,0,0,0,1,1,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,12,0.5,0.25,0.17,1.0,0.0,0.0,1.5,0.0,13.5,1.0,681402
Ken Waldichuk,25,0,Maj-AL,"Apr 7, 2023",Oakland,@,Tampa Bay,1,1,,1.0,,3.0,8,8,8,3,3,4,0,24.0,11,17,0,0,0,0,0,0,0,0,20,71,0.54,0.13,0.08,0.36,0.14,0.07,3.667,0.4,9.0,1.0,686610
Andrew Wantz,27,0,Maj-AL,"Apr 7, 2023",Los Angeles,,Toronto,1,0,,,,2.0,0,0,0,0,3,0,0,0.0,,6,0,0,0,0,0,0,0,0,6,22,0.64,0.18,0.14,0.67,0.0,0.0,0.0,0.0,13.5,,681806
Zack Wheeler,33,0,Maj-NL,"Apr 7, 2023",Philadelphia,,Cincinnati,1,1,,,,5.1,5,2,2,3,5,0,0,3.38,52,19,3,0,0,1,0,0,1,0,22,92,0.64,0.24,0.08,0.21,0.29,0.29,1.5,0.357,8.4,1.67,554430
Bryse Wilson,25,0,Maj-NL,"Apr 7, 2023",Milwaukee,,St. Louis,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.67,0.17,0.08,1.0,0.0,0.0,0.0,0.0,18.0,,669060
Brandon Woodruff,30,0,Maj-NL,"Apr 7, 2023",Milwaukee,,St. Louis,1,1,1.0,,,5.1,4,0,0,2,4,0,0,0.0,62,18,0,0,0,1,0,0,1,0,20,84,0.62,0.11,0.15,0.36,0.21,0.14,1.125,0.286,6.8,2.0,605540
Ryan Yarbrough,31,0,Maj-AL,"Apr 7, 2023",Kansas City,@,San Francisco,1,0,,,,1.1,0,0,0,1,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,5,22,0.64,0.09,0.14,0.33,0.0,0.0,0.75,0.0,6.8,1.0,642232
Alex Young,29,0,Maj-NL,"Apr 7, 2023",Cincinnati,@,Philadelphia,1,0,,,,1.1,1,0,0,0,3,0,0,0.0,,5,0,0,0,0,0,0,0,0,5,25,0.64,0.08,0.28,1.0,0.0,0.0,0.75,0.5,20.3,,622065
