Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Bryan Abreu,26,0,Maj-AL,"Apr 3, 2023",Houston,,Detroit,1,0,,,,1.0,1,1,1,0,1,1,0,9.0,,4,0,0,0,0,0,0,0,0,4,16,0.69,0.25,0.06,0.33,0.0,0.0,1.0,0.0,9.0,,650556
Domingo Acevedo,29,0,Maj-AL,"Apr 3, 2023",Oakland,,Cleveland,1,0,,,,2.0,4,3,3,0,1,0,1,13.5,,8,0,1,0,0,2,2,0,0,11,34,0.62,0.12,0.09,0.11,0.67,0.0,2.0,0.444,4.5,,642758
Jason Adam,31,0,Maj-AL,"Apr 3, 2023",Tampa Bay,@,Washington,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,2,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,,592094
Hanser Alberto,30,0,Maj-AL,"Apr 3, 2023",Chicago,,San Francisco,1,0,,,,0.2,2,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,15,0.6,0.07,0.0,0.67,0.33,0.0,3.0,0.667,13.5,,593643
Jorge Alcala,27,0,Maj-AL,"Apr 3, 2023",Minnesota,@,Miami,1,0,,,,2.0,2,0,0,0,3,0,0,0.0,,7,1,0,0,0,0,0,0,0,7,25,0.72,0.2,0.12,0.75,0.0,0.0,1.0,0.5,13.5,,660896
Yency Almonte,29,0,Maj-NL,"Apr 3, 2023",Los Angeles,,Colorado,1,0,1.0,,,1.0,2,1,1,0,1,0,0,9.0,,4,0,0,0,1,0,0,0,0,4,10,0.8,0.3,0.1,1.0,0.0,0.0,2.0,0.667,9.0,,622075
Nick Anderson,32,0,Maj-NL,"Apr 3, 2023",Atlanta,@,St. Louis,1,0,,,,1.2,1,1,1,0,4,1,0,5.4,,6,0,0,0,0,0,0,0,0,6,28,0.68,0.29,0.18,0.5,0.0,0.0,0.6,0.0,21.6,,623433
Anthony Banda,29,0,Maj-NL,"Apr 3, 2023",Washington,,Tampa Bay,1,0,,,,1.0,2,1,1,0,1,0,0,9.0,,4,0,0,0,0,1,0,0,1,5,22,0.68,0.14,0.18,0.5,0.25,0.0,2.0,0.5,9.0,,607455
F\xc3\xa9lix Bautista,28,0,Maj-AL,"Apr 3, 2023",Baltimore,@,Texas,1,0,,,1.0,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,7,1.0,0.0,0.43,1.0,0.0,0.0,0.0,0.0,18.0,,642585
David Bednar,28,0,Maj-NL,"Apr 3, 2023",Pittsburgh,@,Boston,1,0,,,1.0,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,12,0.83,0.17,0.25,1.0,0.0,0.0,1.0,0.5,18.0,,670280
Jos\xc3\xa9 Berr\xc3\xados,29,0,Maj-AL,"Apr 3, 2023",Toronto,@,Kansas City,1,1,,1.0,,5.2,9,8,8,2,7,0,0,12.71,24,25,2,1,0,0,0,2,0,0,27,89,0.63,0.18,0.12,0.44,0.33,0.0,1.941,0.5,11.1,3.5,621244
Phil Bickford,27,0,Maj-NL,"Apr 3, 2023",Los Angeles,,Colorado,1,0,,,,1.0,1,0,0,0,3,0,0,0.0,,4,1,0,0,0,0,0,0,0,4,21,0.62,0.19,0.14,1.0,0.0,0.0,1.0,1.0,27.0,,641360
Jake Bird,27,0,Maj-NL,"Apr 3, 2023",Colorado,@,Los Angeles,1,0,,,,0.1,4,4,4,0,0,1,0,108.0,,5,0,1,0,0,0,0,0,0,5,19,0.68,0.16,0.0,0.6,0.2,0.0,12.0,0.75,0.0,,656234
Ronel Blanco,29,0,Maj-AL,"Apr 3, 2023",Houston,,Detroit,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.67,0.08,0.42,1.0,0.0,0.0,0.0,0.0,18.0,,669854
Richard Bleier,36,0,Maj-AL,"Apr 3, 2023",Boston,,Pittsburgh,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,1,0,0,0,0,3,12,0.75,0.25,0.08,1.0,0.0,0.0,0.0,0.0,9.0,,542947
Matthew Boyd,32,0,Maj-AL,"Apr 3, 2023",Detroit,@,Houston,1,1,,,,4.1,2,2,2,3,3,0,0,4.15,51,16,0,0,0,0,0,0,0,0,19,76,0.57,0.11,0.08,0.46,0.23,0.0,1.154,0.154,6.2,1.0,571510
Kyle Bradish,26,0,Maj-AL,"Apr 3, 2023",Baltimore,@,Texas,1,1,,,,1.2,1,0,0,1,2,0,0,0.0,54,6,0,0,0,0,0,0,0,0,7,28,0.61,0.25,0.11,0.75,0.25,0.0,1.2,0.25,10.8,2.0,680694
Ryan Brasier,35,0,Maj-AL,"Apr 3, 2023",Boston,,Pittsburgh,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.75,0.17,0.08,1.0,0.0,0.0,0.0,0.0,9.0,,518489
Hunter Brown,24,0,Maj-AL,"Apr 3, 2023",Houston,,Detroit,1,1,,,,4.2,6,4,4,3,5,0,0,7.71,38,19,0,0,0,0,0,0,1,0,22,93,0.65,0.19,0.08,0.36,0.36,0.14,1.929,0.429,9.6,1.67,686613
Carlos Carrasco,36,0,Maj-NL,"Apr 3, 2023",New York,@,Milwaukee,1,1,,1.0,,4.0,4,5,5,4,4,1,0,11.25,34,16,0,0,0,0,0,2,0,0,20,96,0.55,0.2,0.13,0.5,0.25,0.08,2.0,0.273,9.0,1.0,471911
Diego Castillo,29,0,Maj-AL,"Apr 3, 2023",Seattle,,Los Angeles,1,0,,,,1.0,0,0,0,2,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,5,19,0.47,0.11,0.05,0.67,0.0,0.33,2.0,0.0,0.0,0.0,650895
Miguel Castro,28,0,Maj-NL,"Apr 3, 2023",Arizona,@,San Diego,1,0,,,,0.2,0,0,0,0,1,0,0,0.0,,2,0,0,0,0,0,0,0,0,2,5,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,13.5,,612434
Andrew Chafin,33,0,Maj-NL,"Apr 3, 2023",Arizona,@,San Diego,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,10,0.6,0.2,0.1,0.0,0.33,0.0,0.0,0.0,0.0,,605177
JT Chargois,32,0,Maj-NL,"Apr 3, 2023",Miami,,Minnesota,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,16,0.69,0.19,0.19,1.0,0.0,0.0,0.0,0.0,18.0,,608638
Adam Cimber,32,0,Maj-AL,"Apr 3, 2023",Toronto,@,Kansas City,1,0,,,,1.0,0,0,0,1,2,0,1,0.0,,3,0,0,0,0,0,0,0,0,5,22,0.45,0.18,0.05,0.0,0.0,0.0,1.0,0.0,18.0,2.0,643256
Jos\xc3\xa9 Cisnero,34,0,Maj-AL,"Apr 3, 2023",Detroit,@,Houston,1,0,,,,0.2,2,2,2,1,0,1,1,27.0,,4,0,0,0,0,0,0,0,0,7,23,0.65,0.22,0.0,0.0,0.5,0.25,4.5,0.333,0.0,0.0,542585
Taylor Clarke,30,0,Maj-AL,"Apr 3, 2023",Kansas City,,Toronto,1,0,,,,1.0,2,1,1,0,1,1,0,9.0,,5,0,0,0,0,0,0,0,0,5,13,0.69,0.15,0.23,0.75,0.0,0.0,2.0,0.333,9.0,,664199
Emmanuel Clase,25,0,Maj-AL,"Apr 3, 2023",Cleveland,@,Oakland,1,0,1.0,,,1.0,2,2,2,2,0,1,0,18.0,,4,0,0,0,1,0,0,0,0,6,18,0.44,0.11,0.0,0.5,0.25,0.0,4.0,0.333,0.0,0.0,661403
Garrett Cleavinger,29,0,Maj-AL,"Apr 3, 2023",Tampa Bay,@,Washington,1,0,,,,0.2,1,1,0,1,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,5,27,0.59,0.26,0.04,0.75,0.25,0.0,3.0,0.25,0.0,0.0,664076
Dylan Coleman,26,0,Maj-AL,"Apr 3, 2023",Kansas City,,Toronto,1,0,,,,1.0,1,1,1,1,2,0,0,9.0,,4,0,0,0,0,0,0,0,0,5,24,0.5,0.21,0.13,0.5,0.0,0.5,2.0,0.5,18.0,2.0,669395
Nestor Cortes,28,0,Maj-AL,"Apr 3, 2023",New York,,Philadelphia,1,1,1.0,,,5.0,7,1,1,0,3,0,0,1.8,52,21,2,0,0,0,0,0,0,0,21,80,0.69,0.15,0.11,0.22,0.33,0.28,1.4,0.389,5.4,,641482
Danny Coulombe,33,0,Maj-AL,"Apr 3, 2023",Baltimore,@,Texas,1,0,1.0,,,1.1,0,0,0,0,1,0,1,0.0,,4,0,0,0,0,0,0,0,0,5,26,0.54,0.12,0.08,0.33,0.0,0.0,0.0,0.0,6.8,,543056
Kutter Crawford,27,0,Maj-AL,"Apr 3, 2023",Boston,,Pittsburgh,1,1,,1.0,,4.0,8,7,7,2,6,3,0,15.75,22,20,1,0,0,0,0,0,0,0,22,93,0.63,0.16,0.16,0.21,0.14,0.14,2.5,0.455,13.5,3.0,676710
Fernando Cruz,33,0,Maj-NL,"Apr 3, 2023",Cincinnati,,Chicago,1,0,1.0,,,1.1,1,0,0,1,0,0,0,0.0,,5,1,0,0,0,0,0,0,0,7,31,0.58,0.16,0.06,0.4,0.4,0.0,1.5,0.2,0.0,0.0,518585
Jose Cuas,29,0,Maj-AL,"Apr 3, 2023",Kansas City,,Toronto,1,0,,,,0.2,0,0,0,1,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,16,0.56,0.13,0.06,0.0,0.5,0.5,1.5,0.0,0.0,0.0,621016
Johnny Cueto,37,0,Maj-NL,"Apr 3, 2023",Miami,,Minnesota,1,1,,1.0,,1.0,3,4,4,1,0,2,0,36.0,30,6,0,0,0,0,0,0,0,0,7,25,0.48,0.12,0.0,0.0,0.33,0.17,4.0,0.25,0.0,0.0,456501
Xzavion Curry,24,0,Maj-AL,"Apr 3, 2023",Cleveland,@,Oakland,1,0,,,,5.0,3,2,2,0,3,1,0,3.6,,18,1,0,0,0,0,0,0,0,18,56,0.63,0.09,0.07,0.2,0.13,0.2,0.6,0.143,5.4,,675540
Anthony DeSclafani,33,0,Maj-NL,"Apr 3, 2023",San Francisco,@,Chicago,1,1,1.0,,,6.0,3,0,0,0,4,0,0,0.0,70,20,1,0,0,1,0,0,0,0,20,73,0.64,0.14,0.16,0.63,0.25,0.06,0.5,0.188,6.0,,543101
Reid Detmers,23,0,Maj-AL,"Apr 3, 2023",Los Angeles,@,Seattle,1,1,,,,4.2,4,3,2,3,7,0,0,3.86,50,19,3,0,0,0,0,2,0,0,22,89,0.62,0.21,0.09,0.25,0.42,0.08,1.5,0.333,13.5,2.33,672282
Jake Diekman,36,0,Maj-AL,"Apr 3, 2023",Chicago,,San Francisco,1,0,,,,2.0,0,0,0,2,3,0,0,0.0,,5,0,0,0,1,0,0,0,0,7,30,0.47,0.13,0.17,0.5,0.5,0.0,1.0,0.0,13.5,1.5,518617
Seranthony Dom\xc3\xadnguez,28,0,Maj-NL,"Apr 3, 2023",Philadelphia,@,New York,1,0,,,,1.0,1,0,0,1,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,5,19,0.53,0.11,0.21,0.67,0.33,0.0,2.0,0.333,9.0,1.0,622554
Mason Englert,23,0,Maj-AL,"Apr 3, 2023",Detroit,@,Houston,1,0,,,,3.0,2,0,0,0,0,0,0,0.0,,10,0,0,0,1,0,0,0,0,10,29,0.69,0.21,0.14,0.6,0.2,0.1,0.667,0.2,0.0,,669438
Carlos Est\xc3\xa9vez,30,0,Maj-AL,"Apr 3, 2023",Los Angeles,@,Seattle,1,0,,,,1.0,0,0,0,1,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,15,0.53,0.07,0.07,0.33,0.0,0.33,1.0,0.0,0.0,0.0,608032
Jeurys Familia,33,0,Maj-AL,"Apr 3, 2023",Oakland,,Cleveland,1,0,,,,1.0,3,2,0,0,0,0,0,0.0,,5,0,0,0,0,1,0,0,0,7,24,0.67,0.13,0.13,0.86,0.0,0.0,3.0,0.5,0.0,,544727
Buck Farmer,32,0,Maj-NL,"Apr 3, 2023",Cincinnati,,Chicago,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,13,0.62,0.08,0.15,1.0,0.0,0.0,0.0,0.0,0.0,,571656
Calvin Faucher,27,0,Maj-AL,"Apr 3, 2023",Tampa Bay,@,Washington,1,0,,,,2.0,1,1,1,0,1,1,1,4.5,,7,0,0,0,0,0,0,0,0,8,33,0.67,0.15,0.09,0.17,0.17,0.17,0.5,0.0,4.5,,676534
Ryan Feltner,26,0,Maj-NL,"Apr 3, 2023",Colorado,@,Los Angeles,1,1,,1.0,,4.2,4,5,5,5,7,1,0,9.64,38,17,1,0,0,1,0,0,0,0,22,93,0.58,0.23,0.11,0.3,0.3,0.1,1.929,0.333,13.5,1.4,663372
Matt Festa,30,0,Maj-AL,"Apr 3, 2023",Seattle,,Los Angeles,1,0,,,,2.0,2,3,3,3,5,1,0,13.5,,8,1,0,0,0,0,0,0,0,11,52,0.58,0.12,0.21,0.33,0.33,0.0,2.5,0.5,22.5,1.67,670036
Ian Gibaut,29,0,Maj-NL,"Apr 3, 2023",Cincinnati,,Chicago,1,0,,,,0.2,0,1,1,0,0,0,1,13.5,,2,0,0,0,0,0,0,0,0,3,7,0.57,0.14,0.0,0.5,0.0,0.5,0.0,0.0,0.0,,664139
Jon Gray,31,0,Maj-AL,"Apr 3, 2023",Texas,,Baltimore,1,1,,1.0,,6.1,4,2,2,2,7,2,0,2.84,62,22,0,0,0,1,0,1,0,0,24,97,0.67,0.15,0.13,0.4,0.13,0.0,0.947,0.154,9.9,3.5,592351
Michael Grove,26,0,Maj-NL,"Apr 3, 2023",Los Angeles,,Colorado,1,1,,,,4.0,2,3,3,2,4,0,0,6.75,48,14,1,0,0,0,0,0,0,0,16,63,0.62,0.14,0.11,0.4,0.0,0.2,1.0,0.2,9.0,2.0,675627
Luis Guillorme,28,0,Maj-NL,"Apr 3, 2023",New York,@,Milwaukee,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,12,0.5,0.17,0.0,0.0,0.25,0.25,1.0,0.25,0.0,,641645
Ian Hamilton,28,0,Maj-AL,"Apr 3, 2023",New York,,Philadelphia,1,0,,,,1.2,3,0,0,0,2,0,0,0.0,,8,0,0,0,0,0,0,0,0,8,36,0.72,0.11,0.25,0.5,0.5,0.0,1.8,0.5,10.8,,641656
Jimmy Herget,29,0,Maj-AL,"Apr 3, 2023",Los Angeles,@,Seattle,1,0,,,,1.0,1,0,0,0,0,0,1,0.0,,4,0,0,0,0,0,0,0,0,5,18,0.61,0.17,0.0,0.25,0.25,0.25,1.0,0.25,0.0,,623474
Tim Herrin,26,0,Maj-AL,"Apr 3, 2023",Cleveland,@,Oakland,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,16,0.56,0.13,0.19,0.5,0.5,0.0,1.0,0.5,18.0,,682120
Jordan Hicks,26,0,Maj-NL,"Apr 3, 2023",St. Louis,,Atlanta,1,0,,,,2.0,3,2,2,1,2,0,0,9.0,,9,2,0,0,0,0,0,0,0,10,38,0.63,0.05,0.16,0.43,0.43,0.14,2.0,0.429,9.0,2.0,663855
Garrett Hill,27,0,Maj-AL,"Apr 3, 2023",Detroit,@,Houston,1,0,,,1.0,1.0,1,1,0,0,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,12,0.58,0.08,0.0,0.5,0.0,0.25,1.0,0.25,0.0,,682051
Tim Hill,33,0,Maj-NL,"Apr 3, 2023",San Diego,,Arizona,1,0,1.0,,,0.2,2,0,0,0,0,0,0,0.0,,3,0,0,0,1,0,0,0,0,3,4,0.75,0.0,0.0,1.0,0.0,0.0,3.0,0.667,0.0,,657612
Colin Holderman,27,0,Maj-NL,"Apr 3, 2023",Pittsburgh,@,Boston,1,0,,,,1.0,1,0,0,1,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,5,19,0.58,0.21,0.05,0.75,0.0,0.25,2.0,0.25,0.0,0.0,670059
Clay Holmes,30,0,Maj-AL,"Apr 3, 2023",New York,,Philadelphia,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,14,0.79,0.21,0.21,1.0,0.0,0.0,1.0,0.5,18.0,,605280
Brent Honeywell Jr.,28,0,Maj-NL,"Apr 3, 2023",San Diego,,Arizona,1,0,,,,2.0,1,1,1,0,3,1,0,4.5,,7,0,0,0,0,0,0,0,0,7,26,0.69,0.15,0.19,0.25,0.5,0.0,0.5,0.0,13.5,,641703
Tommy Hunter,36,0,Maj-NL,"Apr 3, 2023",New York,@,Milwaukee,1,0,,,,2.0,5,5,5,2,1,1,0,22.5,,11,0,0,0,0,0,0,0,0,13,44,0.59,0.07,0.05,0.7,0.0,0.0,3.5,0.444,4.5,0.5,488984
James Kaprielian,29,0,Maj-AL,"Apr 3, 2023",Oakland,,Cleveland,1,1,,,,5.0,7,5,5,2,5,1,0,9.0,36,22,3,0,0,0,0,0,0,0,24,89,0.69,0.18,0.09,0.24,0.41,0.18,1.8,0.375,9.0,2.5,621076
James Karinchak,27,0,Maj-AL,"Apr 3, 2023",Cleveland,@,Oakland,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,7,1.0,0.29,0.57,1.0,0.0,0.0,0.0,0.0,18.0,,675916
Zack Kelly,28,0,Maj-AL,"Apr 3, 2023",Boston,,Pittsburgh,1,0,,,,2.0,1,0,0,1,2,0,0,0.0,,6,1,0,0,0,0,0,0,0,7,30,0.63,0.13,0.17,0.5,0.25,0.0,1.0,0.25,9.0,2.0,677161
Ian Kennedy,38,0,Maj-AL,"Apr 3, 2023",Texas,,Baltimore,1,0,,,,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,15,0.73,0.07,0.4,,,,0.0,,27.0,,453178
George Kirby,25,0,Maj-AL,"Apr 3, 2023",Seattle,,Los Angeles,1,1,,1.0,,4.1,9,4,4,1,5,1,1,8.31,33,21,1,0,0,1,0,0,0,0,23,84,0.7,0.21,0.13,0.25,0.44,0.0,2.308,0.533,10.4,5.0,669923
Michael Kopech,27,0,Maj-AL,"Apr 3, 2023",Chicago,,San Francisco,1,1,,1.0,,4.2,8,7,7,3,5,5,0,13.5,22,22,1,0,0,0,0,1,0,0,25,91,0.6,0.18,0.11,0.35,0.18,0.0,2.357,0.25,9.6,1.67,656629
Jimmy Lambert,28,0,Maj-AL,"Apr 3, 2023",Chicago,,San Francisco,1,0,,,,1.1,1,0,0,1,0,0,0,0.0,,5,0,0,0,0,0,0,0,0,6,24,0.63,0.04,0.08,0.4,0.2,0.2,1.5,0.2,0.0,0.0,669424
Alex Lange,27,0,Maj-AL,"Apr 3, 2023",Detroit,@,Houston,1,0,,,,1.0,2,1,1,1,0,0,0,9.0,,5,1,0,1,0,0,0,0,0,6,16,0.75,0.06,0.25,0.4,0.2,0.0,3.0,0.4,0.0,0.0,656638
Derek Law,32,0,Maj-NL,"Apr 3, 2023",Cincinnati,,Chicago,1,0,,,1.0,1.0,2,0,0,0,0,0,0,0.0,,5,0,0,0,0,0,0,0,0,5,11,0.82,0.27,0.0,0.2,0.6,0.2,2.0,0.4,0.0,,571882
Jeff Lindgren,26,0,Maj-NL,"Apr 3, 2023",Miami,,Minnesota,1,0,,,,5.0,4,4,4,3,0,0,0,7.2,,18,1,1,0,1,0,0,0,0,21,85,0.55,0.13,0.06,0.17,0.17,0.0,1.4,0.222,0.0,0.0,689167
Jonathan Lo\xc3\xa1isiga,28,0,Maj-AL,"Apr 3, 2023",New York,,Philadelphia,1,0,,,,1.1,0,0,0,0,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,10,0.8,0.1,0.2,0.75,0.0,0.0,0.0,0.0,0.0,,642528
Tyler Mahle,28,0,Maj-AL,"Apr 3, 2023",Minnesota,@,Miami,1,1,1.0,,,5.0,5,1,1,1,7,0,0,1.8,59,19,1,0,0,1,0,0,0,0,20,84,0.64,0.21,0.1,0.67,0.25,0.0,1.2,0.417,12.6,7.0,641816
