Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Bryan Abreu,26,1,Maj-AL,"Mar 30, 2023",Houston,,Chicago,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.75,0.08,0.08,0.5,0.0,0.0,0.0,0.0,9.0,,650556
Domingo Acevedo,29,1,Maj-AL,"Mar 30, 2023",Oakland,,Los Angeles,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,21,0.81,0.05,0.1,1.0,0.0,0.0,0.0,0.0,18.0,,642758
Jason Adam,31,1,Maj-AL,"Mar 30, 2023",Tampa Bay,,Detroit,1,0,,,,1.0,0,0,0,1,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,15,0.53,0.0,0.27,0.33,0.0,0.33,1.0,0.0,0.0,0.0,592094
Keegan Akin,28,1,Maj-AL,"Mar 30, 2023",Baltimore,@,Boston,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,17,0.59,0.24,0.12,1.0,0.0,0.0,1.0,0.5,18.0,,669211
Sandy Alcantara,27,1,Maj-NL,"Mar 30, 2023",Miami,,New York,1,1,,,,5.2,3,3,3,4,2,0,0,4.76,49,17,0,0,0,0,2,1,0,0,23,97,0.6,0.1,0.14,0.65,0.24,0.0,1.235,0.177,3.2,0.5,645261
Yency Almonte,29,1,Maj-NL,"Mar 30, 2023",Los Angeles,,Arizona,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,10,0.7,0.3,0.1,0.33,0.0,0.33,0.0,0.0,0.0,,622075
Bryan Baker,28,1,Maj-AL,"Mar 30, 2023",Baltimore,@,Boston,1,0,,,,0.2,2,3,3,1,1,0,1,40.5,,3,1,0,0,0,1,0,0,0,6,17,0.59,0.0,0.18,0.0,0.67,0.0,4.5,0.667,13.5,1.0,641329
Anthony Bass,35,1,Maj-AL,"Mar 30, 2023",Toronto,@,St. Louis,1,0,,,,0.1,1,1,1,1,0,0,0,27.0,,2,0,0,0,0,0,1,0,0,3,13,0.54,0.38,0.0,1.0,0.0,0.0,6.0,0.5,0.0,0.0,542914
F\xc3\xa9lix Bautista,28,1,Maj-AL,"Mar 30, 2023",Baltimore,@,Boston,1,0,,,1.0,1.0,2,2,1,1,2,0,0,9.0,,5,0,0,0,0,0,0,0,0,6,25,0.64,0.16,0.2,0.67,0.33,0.0,3.0,0.667,18.0,2.0,642585
David Bednar,28,1,Maj-NL,"Mar 30, 2023",Pittsburgh,@,Cincinnati,1,0,,,1.0,1.0,1,0,0,0,2,0,0,0.0,,4,1,0,0,0,0,0,0,0,4,18,0.78,0.17,0.22,0.5,0.5,0.0,1.0,0.5,18.0,,670280
Andrew Bellatti,31,1,Maj-NL,"Mar 30, 2023",Philadelphia,@,Texas,1,0,,,,1.0,0,0,0,1,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,17,0.59,0.18,0.24,1.0,0.0,0.0,1.0,0.0,18.0,2.0,571479
Phil Bickford,27,1,Maj-NL,"Mar 30, 2023",Los Angeles,,Arizona,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.58,0.17,0.17,0.0,0.0,0.5,0.0,0.0,9.0,,641360
Shane Bieber,28,1,Maj-AL,"Mar 30, 2023",Cleveland,@,Seattle,1,1,,,,6.0,6,0,0,0,3,0,0,0.0,63,23,2,0,0,1,0,1,0,0,23,87,0.66,0.17,0.11,0.45,0.3,0.0,1.0,0.3,4.5,,669456
Jake Bird,27,1,Maj-NL,"Mar 30, 2023",Colorado,@,San Diego,1,0,,,,1.0,0,0,0,1,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,12,0.5,0.25,0.0,0.33,0.0,0.33,1.0,0.0,0.0,0.0,656234
Brad Boxberger,35,1,Maj-NL,"Mar 30, 2023",Chicago,,Milwaukee,1,0,,,,1.0,0,0,0,1,1,0,0,0.0,,2,0,0,0,1,0,0,0,0,3,14,0.5,0.14,0.14,1.0,0.0,0.0,1.0,0.0,9.0,1.0,502202
Matt Brash,25,1,Maj-AL,"Mar 30, 2023",Seattle,,Cleveland,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,18,0.56,0.17,0.22,0.5,0.0,0.0,1.0,0.5,18.0,,666374
Ryan Brasier,35,1,Maj-AL,"Mar 30, 2023",Boston,,Baltimore,1,0,,,,1.0,2,3,3,2,0,0,1,27.0,,4,0,0,0,1,0,3,0,0,7,36,0.47,0.17,0.03,0.5,0.5,0.0,4.0,0.5,0.0,0.0,518489
Huascar Brazoban,33,1,Maj-NL,"Mar 30, 2023",Miami,,New York,1,0,,,,2.0,3,0,0,0,3,0,1,0.0,,9,0,0,0,0,0,0,0,0,10,37,0.59,0.05,0.14,0.83,0.17,0.0,1.5,0.5,13.5,,623211
John Brebbia,33,1,Maj-NL,"Mar 30, 2023",San Francisco,@,New York,1,0,,,,1.0,3,1,1,0,3,0,0,9.0,,6,0,0,0,0,0,1,0,0,6,23,0.7,0.13,0.3,0.33,0.33,0.0,3.0,1.0,27.0,,605154
Connor Brogdon,28,1,Maj-NL,"Mar 30, 2023",Philadelphia,@,Texas,1,0,,,,1.0,3,2,2,0,1,1,0,18.0,,5,0,0,0,0,0,0,0,0,5,28,0.64,0.11,0.14,0.0,1.0,0.0,3.0,0.667,9.0,,641401
Aaron Bummer,29,1,Maj-AL,"Mar 30, 2023",Chicago,@,Houston,1,0,,,,0.2,0,0,0,1,2,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,17,0.53,0.18,0.29,,,,1.5,,27.0,2.0,607481
Brock Burke,26,1,Maj-AL,"Mar 30, 2023",Texas,,Philadelphia,1,0,,,,2.0,3,1,1,0,3,0,0,4.5,,9,0,0,0,0,0,0,0,0,9,39,0.74,0.13,0.21,0.67,0.0,0.17,1.5,0.5,13.5,,656271
Corbin Burnes,28,1,Maj-NL,"Mar 30, 2023",Milwaukee,@,Chicago,1,1,,1.0,,5.0,4,4,4,3,3,0,1,7.2,43,19,0,0,0,1,0,0,0,0,23,87,0.63,0.16,0.08,0.69,0.13,0.0,1.4,0.25,5.4,1.0,669203
Luis Castillo,30,1,Maj-AL,"Mar 30, 2023",Seattle,,Cleveland,1,1,,,,6.0,1,0,0,0,6,0,0,0.0,76,19,0,0,0,0,0,0,0,0,19,76,0.78,0.2,0.17,0.38,0.23,0.23,0.167,0.077,9.0,,622491
Dylan Cease,27,1,Maj-AL,"Mar 30, 2023",Chicago,@,Houston,1,1,,,,6.1,2,1,1,0,10,0,1,1.42,75,21,0,0,0,0,0,1,0,0,22,86,0.72,0.19,0.16,0.45,0.18,0.0,0.316,0.182,14.2,,656302
JT Chargois,32,1,Maj-NL,"Mar 30, 2023",Miami,,New York,1,0,,,,0.2,0,0,0,0,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,2,7,0.71,0.29,0.14,1.0,0.0,0.0,0.0,0.0,0.0,,608638
Jesse Chavez,39,1,Maj-NL,"Mar 30, 2023",Atlanta,@,Washington,1,0,,,,1.1,2,0,0,0,1,0,0,0.0,,6,0,0,0,0,0,0,0,0,6,24,0.58,0.13,0.13,0.8,0.2,0.0,1.5,0.4,6.8,,445926
Adam Cimber,32,1,Maj-AL,"Mar 30, 2023",Toronto,@,St. Louis,1,0,,,,1.0,0,0,0,1,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,11,0.55,0.27,0.0,0.67,0.0,0.33,1.0,0.0,0.0,0.0,643256
Gerrit Cole,32,1,Maj-AL,"Mar 30, 2023",New York,,San Francisco,1,1,1.0,,,6.0,3,0,0,2,11,0,0,0.0,75,20,0,0,0,1,0,1,0,0,22,95,0.59,0.13,0.18,0.56,0.33,0.0,0.833,0.333,16.5,5.5,543037
Dylan Coleman,26,1,Maj-AL,"Mar 30, 2023",Kansas City,,Minnesota,1,0,,,,1.0,1,0,0,2,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,6,22,0.41,0.14,0.05,0.25,0.5,0.25,3.0,0.25,0.0,0.0,669395
Patrick Corbin,33,1,Maj-NL,"Mar 30, 2023",Washington,,Atlanta,1,1,,1.0,,3.0,7,4,2,3,3,0,0,6.0,33,17,1,0,0,0,0,1,0,0,20,85,0.56,0.14,0.12,0.64,0.14,0.0,3.333,0.5,9.0,1.0,571578
Nabil Crismatt,28,1,Maj-NL,"Mar 30, 2023",San Diego,,Colorado,1,0,,,,1.2,4,2,2,0,2,1,0,10.8,,9,0,0,0,0,0,0,0,0,9,32,0.69,0.19,0.13,0.57,0.14,0.0,2.4,0.5,10.8,,622503
Fernando Cruz,33,1,Maj-NL,"Mar 30, 2023",Cincinnati,,Pittsburgh,1,0,,,,0.1,0,1,1,3,0,0,0,27.0,,1,0,0,0,0,0,0,0,0,4,24,0.42,0.08,0.08,1.0,0.0,0.0,9.0,0.0,0.0,0.0,518585
Jose Cuas,29,1,Maj-AL,"Mar 30, 2023",Kansas City,,Minnesota,1,0,,,,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,15,0.67,0.07,0.4,,,,0.0,,27.0,,621016
Enyel De Los Santos,27,1,Maj-AL,"Mar 30, 2023",Cleveland,@,Seattle,1,0,,,,0.2,0,0,0,0,1,0,0,0.0,,2,0,0,0,0,0,0,0,0,2,6,0.83,0.17,0.17,0.0,0.0,0.0,0.0,0.0,13.5,,660853
Jacob deGrom,35,1,Maj-AL,"Mar 30, 2023",Texas,,Philadelphia,1,1,,,,3.2,6,5,5,0,7,1,0,12.27,36,17,3,2,0,0,0,1,0,0,17,73,0.67,0.18,0.14,0.2,0.3,0.2,1.636,0.556,17.2,,594798
Jhoan Duran,25,1,Maj-AL,"Mar 30, 2023",Minnesota,@,Kansas City,1,0,,,1.0,1.0,0,0,0,1,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,17,0.59,0.06,0.24,0.5,0.0,0.0,1.0,0.0,9.0,1.0,661395
Mason Englert,23,1,Maj-AL,"Mar 30, 2023",Detroit,@,Tampa Bay,1,0,,,,1.0,1,1,1,0,0,1,0,9.0,,4,0,0,0,0,0,0,0,0,4,22,0.64,0.23,0.0,0.5,0.0,0.0,1.0,0.0,0.0,,669438
Pete Fairbanks,29,1,Maj-AL,"Mar 30, 2023",Tampa Bay,,Detroit,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,11,0.73,0.09,0.0,0.75,0.0,0.25,1.0,0.25,0.0,,664126
Buck Farmer,32,1,Maj-NL,"Mar 30, 2023",Cincinnati,,Pittsburgh,1,0,,1.0,,1.0,0,1,1,1,1,0,0,9.0,,1,0,0,0,0,1,1,0,0,4,17,0.47,0.06,0.12,0.5,0.0,0.0,1.0,0.0,9.0,1.0,571656
